序号,中文全称,英文全称,金融许可证机构编码,机构类型,简称
1,国家开发银行,China Development Bank,G0001H111000001,开发性金融机构,国家开发银行
2,中国进出口银行,The Export-Import Bank of China,A0003H111000001,政策性银行,中国进出口银行
3,中国农业发展银行,Agricultural Development Bank of China,A0002H111000001,政策性银行,中国农业发展银行
4,中国工商银行股份有限公司,INDUSTRIAL AND COMMERCIAL BANK OF CHINALIMITED,B0001H111000001,国有大型商业银行,中国工商银行
5,中国农业银行股份有限公司,AGRICULTURAL BANK OF CHINA LIMITED,B0002H111000001,国有大型商业银行,中国农业银行
6,中国银行股份有限公司,BANK OF CHINA LIMITED,B0003H111000001,国有大型商业银行,中国银行
7,中国建设银行股份有限公司,CHINA CONSTRUCTION BANK CORPORATION,B0004H111000001,国有大型商业银行,中国建设银行
8,交通银行股份有限公司,"BANK OF COMMUNICATIONS CO.,LTD.",B0005H131000001,国有大型商业银行,交通银行
9,中国邮政储蓄银行股份有限公司,"POSTAL SAVINGS BANK OF CHINA Co.,Ltd.",B0018H111000001,国有大型商业银行,中国邮政储蓄银行
10,中信银行股份有限公司,CHINA CITIC BANK CORPORATION LIMITED,B0006H111000001,股份制商业银行,中信银行
11,中国光大银行股份有限公司,CHINA EVERBRIGHT BANK COMPANY LIMITED,B0007H111000001,股份制商业银行,中国光大银行
12,招商银行股份有限公司,"China Merchants Bank Co.,Ltd.",B0011H144030001,股份制商业银行,招商银行
13,上海浦东发展银行股份有限公司,"SHANGHAI PUDONG DEVELOPMENT BANKCO.,LTD.",B0015H131000001,股份制商业银行,上海浦东发展银行
14,中国民生银行股份有限公司,"CHINA MINSHENG BANKING CORP.,LTD.",B0009H111000001,股份制商业银行,中国民生银行
15,华夏银行股份有限公司,"HUA XIA BANK Co.,Limited",B0008H111000001,股份制商业银行,华夏银行
16,平安银行股份有限公司,"Ping An Bank Co.,Ltd.",B0014H144030001,股份制商业银行,平安银行
17,兴业银行股份有限公司,"INDUSTRIAL BANK CO.,LTD.",B0013H135010001,股份制商业银行,兴业银行
18,广发银行股份有限公司,"China Guangfa Bank Co.,Ltd.",B0012H144010001,股份制商业银行,广发银行
