address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
"广州市从化区街口镇中华路6,8号",从化区,广州市,1,23.554028,113.596894,中国工商银行(从化支行),广东省,78bd50f7a683515b31870adf,(020)87921159,78bd50f7a683515b31870adf
广州市从化区旺城大道6号,从化区,广州市,1,23.560862,113.582042,中国工商银行(广州旺城支行),广东省,,(020)37919061,01687449e3d94a080e3dda3b
广州市从化区经济技术开发区广从大道2号之1,从化区,广州市,1,23.44778,113.49634,中国工商银行(从化太平支行),广东省,,(020)87811475,ef773a0f2a6abc3422022022
广州市从化区温泉东路68号,从化区,广州市,1,23.651293,113.6608,中国工商银行(从化温泉支行),广东省,,(020)87838366,8ab0dfc44a71bd16d8ecedd9
从化区街口街凤仪路宝联大厦首层,从化区,广州市,1,23.547574,113.594841,中国工商银行(广州从化凤仪支行),广东省,fd007c5ed0ceeb6ca8f729df,(020)87941550,fd007c5ed0ceeb6ca8f729df
从化区江埔街沿江南路214-218号,从化区,广州市,1,23.540293,113.596195,中国工商银行(广州从化荔香支行),广东省,50f7d146e82203c472210bdf,,50f7d146e82203c472210bdf
鳌头镇新政路23号1层,从化区,广州市,1,23.624019,113.434043,中国工商银行(广州从化鳌头支行),广东省,,(020)87878023,484bfe1ac3c9813babf72963
沿江南路广州工程技术职业学院内,从化区,广州市,1,23.532992,113.591416,中国工商银行ATM,广东省,570c05b959c2c01af5c59cd7,,570c05b959c2c01af5c59cd7
从化区凤仪东路85号,从化区,广州市,1,23.547553,113.5948,中国工商银行24小时自助银行(从化凤仪支行),广东省,8bd477b343600e83d13ce3c5,,8bd477b343600e83d13ce3c5
广东省广州市从化区旺城大道4,从化区,广州市,1,23.560554,113.582224,中国工商银行24小时自助银行服务(广州旺城支行),广东省,,,ee7415b33310d7e68bfc067b
温泉东路68,从化区,广州市,1,23.651734,113.660693,中国工商银行ATM(广州从化温泉支行),广东省,,,fa01e9378131fb4a774ff1d9
从化区茶场,从化区,广州市,1,23.600427,113.542149,中国工商银行24小时自助银行(伟业路),广东省,,,34f5c3c9f23d0dfab65f1e62
广东省广州市从化区江埔万和百货(河东北路东),从化区,广州市,1,23.550734,113.602407,中国工商银行24小时自助银行(景濠湾酒店东南),广东省,,,2356d0fb7e1d597d5cbe8685
广州市从化区,从化区,广州市,1,23.530548,113.616354,中国工商银行ATM(从化市公路管理局公路交通量比重及间隙式下罗沙观测点东),广东省,,,d9616b5df1397063724b87a1
江埔街海塱村华润万家超市内,从化区,广州市,1,23.547252,113.598601,中国工商银行离行式自助服务区(广州从化支行华润万家超市),广东省,,,c5defa7a91e557a69a005010
明珠工业园伟业路2号(钣金厂首层),从化区,广州市,1,23.600578,113.542096,中国工商银行离行式自助银行(广州从化支行明珠工业园),广东省,,,1d448b8a8f9ff98c4c6d465d
新政路21号,从化区,广州市,1,23.623899,113.434033,中国工商银行24小时自助银行(广州从化鳌头支行),广东省,,,74edb93162032e2790114cb8
广从南路2号之1,从化区,广州市,1,23.447678,113.496776,中国工商银行24小时自助银行(广州从化太平支行),广东省,,,5c2dc21d24271f046fc02c22
人和万力轮胎厂内,从化区,广州市,1,23.60601,113.455673,中国工商银行离行式自助服务区(广州从化支行广州丰力橡胶轮胎有限公司),广东省,,,9637d997a93d2b63fb22133f
街口沿江南路214号,从化区,广州市,1,23.539959,113.596324,中国工商银行24小时自助银行(广州从化荔香支行),广东省,e735477e571c7dc28f7727f3,,e735477e571c7dc28f7727f3
街口街河东南路1号,从化区,广州市,1,23.549504,113.602446,中国工商银行24小时自助银行(广州从化支行河东南路),广东省,bf14583280ed079edf1e52d5,,bf14583280ed079edf1e52d5
街口街中华路8号,从化区,广州市,1,23.554056,113.597046,中国工商银行24小时自助银行(广州从化支行中华路),广东省,f46b5918754e044642d63eac,,f46b5918754e044642d63eac
府前路23,从化区,广州市,1,23.552778,113.594015,中国工商银行24小时自助银行服务(从化府前支行),广东省,d1d6536605b68764cae33c32,,d1d6536605b68764cae33c32
