address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
广东省广州市从化区街口街府前路98号,从化区,广州市,1,23.549217,113.594622,中国建设银行(从化支行),广东省,cd9d05dd069af5b685420edf,(020)87930511,cd9d05dd069af5b685420edf,建设银行
广东省广州市从化区新城路49,从化区,广州市,1,23.72214,113.73939,中国建设银行,广东省,d244bb8e01027e31b8bd6327,,d244bb8e01027e31b8bd6327,建设银行
广东省广州市从化区向阳路2-14号,从化区,广州市,1,23.557341,113.6015,中国建设银行(开源支行),广东省,9d9af664b4b52c8d04026fbe,(020)87936920,9d9af664b4b52c8d04026fbe,建设银行
广东省广州市从化区街口街新村路26-32号,从化区,广州市,1,23.55656,113.592308,中国建设银行(流溪支行),广东省,05dd7d5f40cfb701ad080fdf,"(020)87933182,(020)87928062",05dd7d5f40cfb701ad080fdf,建设银行
广东省广州市从化区太平镇康乐东路3号,从化区,广州市,1,23.438685,113.48969,中国建设银行(太平支行),广东省,,(020)87811215,6113ef77a8cd74148e772722,建设银行
广东省广州市从化区鳌头镇新城西路自编3号首层,从化区,广州市,1,23.624564,113.434249,中国建设银行(鳌头支行),广东省,,(020)84857970,73abb3510012eb8f43024547,建设银行
河东北路10-12号,从化区,广州市,1,23.551405,113.601799,中国建设银行(从化江埔支行),广东省,0a15c7ecacc00181ed74f8f1,(020)87983432,0a15c7ecacc00181ed74f8f1,建设银行
广州市从化区广场路55,从化区,广州市,1,23.545347,113.591972,中国建设银行(个人贷款中心),广东省,13c8ca5a056a584b9d95deed,,13c8ca5a056a584b9d95deed,建设银行
城中路78,从化区,广州市,1,23.545369,113.592082,中国建设银行(从化新城广场支行),广东省,600c2807c713419efb2d6138,,600c2807c713419efb2d6138,建设银行
城鳌大道东与荔园路交叉口东北50米,从化区,广州市,1,23.585182,113.512202,中国建设银行24小时自助银行,广东省,,,dfec2062b0dcdb6e4bfd3f91,建设银行
广东省广州市从化区河东南路72号旁,从化区,广州市,1,23.546188,113.603502,中国建设银行24小时自助银行(七星分理处),广东省,28691956f336773e5910939e,,28691956f336773e5910939e,建设银行
回归路与回归路三巷交叉口西150米,从化区,广州市,1,23.447303,113.49787,中国建设银行24小时自助银行,广东省,,,3e69d116ad1ed79996ca0708,建设银行
广东省广州市从化区从北路280-7,从化区,广州市,1,23.438734,113.489572,中国建设银行ATM(康乐东路),广东省,,,ddbef2daf852a48ba11de92e,建设银行
街口镇新城路西宁横街71号,从化区,广州市,1,23.554762,113.594571,中国建设银行24小时自助银行(西宁横街),广东省,b32eb750a7d730b1e215f953,,b32eb750a7d730b1e215f953,建设银行
广东省广州市从化区法院良口人民法庭(新城南路南),从化区,广州市,1,23.722172,113.739304,中国建设银行24小时自助银行服务,广东省,cdeb4aa05bc184c672210bb5,,cdeb4aa05bc184c672210bb5,建设银行
伟业路与明珠大道中交叉口东南50米,从化区,广州市,1,23.600428,113.542148,中国建设银行24小时自助银行(ATM),广东省,,,54a44df024249f2adc1e5213,建设银行
广东省广州市从化区镇北路从化市中医医院旁,从化区,广州市,1,23.557038,113.597736,中国建设银行24小时自助银行(镇北路),广东省,52ef3603c913f5c44c6d4666,,52ef3603c913f5c44c6d4666,建设银行
广东省广州市从化区街口新城西路西宁小学公交站,从化区,广州市,1,23.561036,113.583991,中国建设银行24小时自助银行(和鸣路),广东省,,,171eb963c4fd96a3130daa2b,建设银行
广东省广州市从化区沿江南路154,从化区,广州市,1,23.541972,113.597965,中国建设银行24小时自助银行(沿江路),广东省,7c73ef7789b5e635c909f09b,,7c73ef7789b5e635c909f09b,建设银行
广州市从化区向阳路2号,从化区,广州市,1,23.557311,113.6015,中国建设银行24小时自助银行(从化开源支行),广东省,0315a1be75b686aafda77888,,0315a1be75b686aafda77888,建设银行
广东省广州市从化区中国建设银行(广州市从化区鳌头镇委北),从化区,广州市,1,23.6246,113.43445,中国建设银行24小时自助银行(鳌头支行),广东省,,,3324fa226aa67e96246e98aa,建设银行
开源路2,从化区,广州市,1,23.552328,113.5956,中国建设银行24小时自助银行(开源分理处),广东省,4d8471664ab61311f90cad75,,4d8471664ab61311f90cad75,建设银行
广州市从化区广场路70-82号,从化区,广州市,1,23.54552,113.591958,中国建设银行24小时自助银行(从化新城广场支行),广东省,14d1171f20acb3703fe231f3,,14d1171f20acb3703fe231f3,建设银行
海塱东路26号,从化区,广州市,1,23.537291,113.596022,中国建设银行24小时自助银行(海塱东路),广东省,,,4bc64438df9cb2bb8936ee2d,建设银行
广东省广州市从化区环市东路205号东北90米,从化区,广州市,1,23.535076,113.612275,中国建设银行24小时自助服务(环市东路),广东省,,,62fec2b92b6063160aa8d455,建设银行
