address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
回归路1号,从化区,广州市,1,23.447424,113.49632,中国邮政储蓄银行(太平营业所),广东省,,"(020)87811838,(020)87812999",24d05508c58faeaf12882422
从化区鳌头镇前进东路37号,从化区,广州市,1,23.625171,113.433708,中国邮政储蓄银行(鳌头营业所),广东省,,(020)87875388,d305db1f40a15b3f932ca36f
广东省广州市从化区江埔街河东南路5-7号红荔新村,从化区,广州市,1,23.548897,113.602676,中国邮政储蓄银行(从化河东营业所),广东省,27b69f62ec4b21137ec8762d,(020)87983908,27b69f62ec4b21137ec8762d
建设路2号,从化区,广州市,1,23.552277,113.596725,中国邮政储蓄银行(从化区河西支行),广东省,18165334ea023979fb2d61fe,,18165334ea023979fb2d61fe
广东省广州市从化区东成路南方医科大学第五附属医院东南,从化区,广州市,1,23.553939,113.596546,中国邮政储蓄银行24小时自助银行(中华路),广东省,22b3abe6bdff0ed9bea2402b,,22b3abe6bdff0ed9bea2402b
新城西路43,从化区,广州市,1,23.559694,113.58741,中国邮政储蓄银行24小时自助银行(从化区支行),广东省,844a750ead4d98c4636858b7,,844a750ead4d98c4636858b7
建设路2号,从化区,广州市,1,23.552253,113.596334,中国邮政储蓄银行24小时自助银行(从化区河西支行),广东省,21e76a861410da38715e802a,,21e76a861410da38715e802a
吕田镇广新路8号,从化区,广州市,1,23.814649,113.956842,中国邮政储蓄银行ATM,广东省,,,0916da8e1cbe5a19e812e484
棋杆镇钻石大道东31号,从化区,广州市,1,23.583268,113.515447,中国邮政储蓄银行24小时自助银行(棋杆营业所),广东省,,,4faaaa73cec69cf9b426558f
广东省广州市从化区前进东路37号,从化区,广州市,1,23.625115,113.433732,中国邮政储蓄银行24小时自助银行(从化鳌头营业所),广东省,,,669775d0cc138426fc0eb097
河东南路74,从化区,广州市,1,23.549116,113.602562,中国邮政储蓄银行24小时自助银行(从化河东营业所),广东省,d61da10405346aad3913fdc6,,d61da10405346aad3913fdc6
从化区回归路1号,从化区,广州市,1,23.44743,113.496308,中国邮政储蓄银行24小时自助银行(太平营业所),广东省,,,df423d5b2e98115fadb22a51
新城南路33号,从化区,广州市,1,23.723387,113.740968,中国邮政储蓄银行ATM(从化良口营业所),广东省,05dd7d5fa718d47cac080f89,,05dd7d5fa718d47cac080f89
