address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
上海市嘉定区南翔镇解放街99号(南翔解放街民主街),嘉定区,上海市,1,31.295495,121.315487,中国银行(南翔支行),上海市,44207646b1e17d6adfee8b9c,,44207646b1e17d6adfee8b9c,中国银行
上海市嘉定区鹤望路609、613、617号,嘉定区,上海市,1,31.250039,121.32625,中国银行(江桥支行),上海市,4f8bcb4fccebbc84770269cf,"(021)60713100,(021)60713106",4f8bcb4fccebbc84770269cf,中国银行
上海市嘉定区塔城路451号,嘉定区,上海市,1,31.384646,121.253931,中国银行(嘉定支行),上海市,925c550f53f23eb35b3ac895,(021)69919041,925c550f53f23eb35b3ac895,中国银行
上海市嘉定区墨玉路42号,嘉定区,上海市,1,31.296354,121.169645,中国银行(上海市安亭支行),上海市,3810c8794affe88a9c09f7e6,(021)59575829,3810c8794affe88a9c09f7e6,中国银行
上海市嘉定区博乐路205号一层,嘉定区,上海市,1,31.391399,121.25883,中国银行(博乐路支行),上海市,f33759eafb3062b3704b877b,"95566,(021)59521557",f33759eafb3062b3704b877b,中国银行
上海市嘉定区绿苑路65号,嘉定区,上海市,1,31.274079,121.221035,中国银行(黄渡支行),上海市,15a938107987fbbc14c8f6e6,(021)59596889,15a938107987fbbc14c8f6e6,中国银行
上海市嘉定区胜竹路149单元150单元2188号,嘉定区,上海市,1,31.406905,121.255164,中国银行(菊园新区支行),上海市,5aff28184b034b8c81a12ed8,(021)59908937,5aff28184b034b8c81a12ed8,中国银行
博乐路205-2号,嘉定区,上海市,1,31.391256,121.258946,中国银行24小时自助银行(博乐路支行),上海市,2c0b67b6103b68a13010aff9,,2c0b67b6103b68a13010aff9,中国银行
沪宜公路3101号上海绿地万怡酒店1楼,嘉定区,上海市,1,31.374012,121.264429,中国银行ATM(群裕桥),上海市,9497748346cca61363180931,,9497748346cca61363180931,中国银行
上海市嘉定区塔城路451号,嘉定区,上海市,1,31.384543,121.253957,中国银行24小时自助银行(嘉定支行),上海市,72aa2513d2c23146067ce895,,72aa2513d2c23146067ce895,中国银行
上海市嘉定区清河路173号附近,嘉定区,上海市,1,31.387156,121.248993,中国银行24小时自助银行(清河路),上海市,,,60cf0a2a8fd39974e9f8538f,中国银行
胜竹路2188号,嘉定区,上海市,1,31.407203,121.255453,中国银行24小时自助银行(胜竹路),上海市,f905be63334258ef9c09f711,,f905be63334258ef9c09f711,中国银行
上海市嘉定区墨玉路42,嘉定区,上海市,1,31.296416,121.169707,中国银行24小时自助银行(安亭支行),上海市,81e727539972d38602ff2d69,,81e727539972d38602ff2d69,中国银行
解放街99号,嘉定区,上海市,1,31.295501,121.315521,中国银行24小时自助银行(南翔支行),上海市,7fc39c8ceefdf9024054d7e3,,7fc39c8ceefdf9024054d7e3,中国银行
鹤望路609号,嘉定区,上海市,1,31.250181,121.326045,中国银行24小时自助银行(江桥支行),上海市,,,f90b3c9a3b58312b54bfff43,中国银行
黄渡镇绿苑路65号,嘉定区,上海市,1,31.274179,121.220984,中国银行24小时自助银行(黄渡支行),上海市,34e48508db1fe9e3d8d891e6,,34e48508db1fe9e3d8d891e6,中国银行
上海市嘉定区澄浏中路3172号百联嘉定购物中心F1,嘉定区,上海市,1,31.393446,121.284053,中国银行24小时自助银行(百联嘉定购物中心),上海市,bb0d86b814e297a5354aae30,,bb0d86b814e297a5354aae30,中国银行
