address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
上海市嘉定区嘉定镇人民街18号,嘉定区,上海市,1,31.38838,121.253522,中国农业银行(上海嘉定城中支行),上海市,1020060fde58ada71994c695,,1020060fde58ada71994c695,农业银行
上海市嘉定区江桥镇沙河路337号,嘉定区,上海市,1,31.24643,121.337491,中国农业银行(上海慧创支行),上海市,c165340574839a07aa175a8a,(021)59140678,c165340574839a07aa175a8a,农业银行
上海市嘉定区和政路272号一层,嘉定区,上海市,1,31.388001,121.279003,中国农业银行(上海仓场路支行),上海市,5e7296b4e5f140c3fe0eb004,(021)59983721,5e7296b4e5f140c3fe0eb004,农业银行
南翔镇银翔路819弄2号古猗园,嘉定区,上海市,1,31.29386,121.325069,中国农业银行(上海古猗园储蓄所),上海市,028dba84f1690073fea77855,,028dba84f1690073fea77855,农业银行
上海市嘉定区昌吉路185号,嘉定区,上海市,1,31.300772,121.169497,中国农业银行(安亭支行),上海市,060f5e5370a747aa081cc722,(021)59570170,060f5e5370a747aa081cc722,农业银行
上海市嘉定区塔城路826号,嘉定区,上海市,1,31.378327,121.245078,中国农业银行(嘉西支行),上海市,6ee0102087045cee53e5c595,(021)59534586,6ee0102087045cee53e5c595,农业银行
上海市嘉定区黄渡镇绿苑路186号,嘉定区,上海市,1,31.275771,121.22078,中国农业银行(黄渡支行),上海市,c879fa0146c9604bc909f0e6,,c879fa0146c9604bc909f0e6,农业银行
上海市嘉定区嘉行公路3211号,嘉定区,上海市,1,31.469293,121.246226,中国农业银行(唐行分理处),上海市,77ba2f19516a564ef90cadcb,(021)59952110,219ebd4ddd77081a2811d186,农业银行
上海市嘉定区马陆镇沪宜公路2255号,嘉定区,上海市,1,31.340856,121.288189,中国农业银行(上海马陆支行),上海市,98191b10e1ec234414c8f6d6,(021)59156285,98191b10e1ec234414c8f6d6,农业银行
上海市嘉定区安亭镇宝安公路4501号,嘉定区,上海市,1,31.322376,121.225459,中国农业银行(上海方泰支行),上海市,fa01e937cf08354b774ff1e6,,fa01e937cf08354b774ff1e6,农业银行
上海市嘉定区外冈镇外青松公路82号,嘉定区,上海市,1,31.367935,121.181618,中国农业银行(上海外冈支行),上海市,,,3c0ea7c5edeb129dfaf0cb95,农业银行
上海市嘉定区马陆镇嘉戬支路1号,嘉定区,上海市,1,31.38532,121.302075,中国农业银行(上海戬浜支行),上海市,2ad32cc350f8f48e9c95de90,,2ad32cc350f8f48e9c95de90,农业银行
上海市嘉定区华亭镇浏翔公路7255号,嘉定区,上海市,1,31.476354,121.288837,中国农业银行(上海华亭支行),上海市,c7eca12b8ee78336e115f939,(021)59970429,c7eca12b8ee78336e115f939,农业银行
嘉行公路209号,嘉定区,上海市,1,31.403508,121.260938,中国农业银行(上海菊园支行),上海市,,,7b7b66105709b5c93786f439,农业银行
上海市嘉定区新郁路203号,嘉定区,上海市,1,31.250803,121.365068,中国农业银行(上海泰宸支行),上海市,befdb292c776c89c871541c3,(021)39100213,befdb292c776c89c871541c3,农业银行
上海市嘉定区江桥镇华江路18号,嘉定区,上海市,1,31.263987,121.352307,中国农业银行(上海江桥支行),上海市,23116913ba27a3fc724b879c,,23116913ba27a3fc724b879c,农业银行
上海市嘉定区江桥镇翔封路13号,嘉定区,上海市,1,31.274657,121.301322,中国农业银行(上海封浜支行),上海市,691305231f458c09735e809c,(021)59137859,691305231f458c09735e809c,农业银行
上海市嘉定区叶城路818号117-119室,嘉定区,上海市,1,31.371172,121.258246,中国农业银行(上海嘉定开发区支行),上海市,e8af9d641501b74993114c58,,0a7d67ecf89ea3c3deee8bca,农业银行
上海市嘉定区嘉行公路209号,嘉定区,上海市,1,31.403611,121.260841,中国农业银行24小时自助银行服务(上海菊园支行),上海市,6fddd7fdb0c32e7e3417dc90,,6fddd7fdb0c32e7e3417dc90,农业银行
上海市嘉定区方德路250弄4,嘉定区,上海市,1,31.31938,121.237304,中国农业银行24小时自助银行(国际五金城),上海市,bf6eeaee3dbbbf567ec8768d,,bf6eeaee3dbbbf567ec8768d,农业银行
解放街185号,嘉定区,上海市,1,31.296094,121.314743,中国农业银行24小时自助银行(上海南翔支行),上海市,764672e5d7403fd394ec8404,,764672e5d7403fd394ec8404,农业银行
上海市嘉定区育兰路84号,嘉定区,上海市,1,31.333235,121.288117,中国农业银行24小时自助银行服务,上海市,c6d14b3e704ce481704b8740,,c6d14b3e704ce481704b8740,农业银行
上海市嘉定区众和路495号,嘉定区,上海市,1,31.298056,121.329164,中国农业银行ATM(众仁路),上海市,c7159d90c25b3cbdad045785,,c7159d90c25b3cbdad045785,农业银行
上海市嘉定区宝翔路623附近,嘉定区,上海市,1,31.315112,121.326028,中国农业银行24小时自助银行(宝翔路),上海市,92dc9b667875018bbe4842f9,,92dc9b667875018bbe4842f9,农业银行
温宿路62弄9号,嘉定区,上海市,1,31.393136,121.252568,中国农业银行24小时自助银行服务(温宿路),上海市,1789fc3c2ff0abb91df74dc8,,1789fc3c2ff0abb91df74dc8,农业银行
梅园路4号,嘉定区,上海市,1,31.384436,121.251758,中国农业银行ATM(嘉定梅园路),上海市,8a61c79915d6a005b13c817c,,8a61c79915d6a005b13c817c,农业银行
上海市嘉定区东大街475号,嘉定区,上海市,1,31.390295,121.258068,中国农业银行24小时自助银行(嘉定东大街),上海市,67e97f4096fdc80ff7231091,,67e97f4096fdc80ff7231091,农业银行
上海市嘉定区博乐南路111号,嘉定区,上海市,1,31.381224,121.271902,中国农业银行ATM(博乐南路),上海市,,,31ed503aac374f4b3a04b1b5,农业银行
上海市嘉定区南翔镇德园路357号,嘉定区,上海市,1,31.29978,121.315808,中国农业银行24小时自助银行(上海德华储蓄所),上海市,e3ed3488ce31fa62c7f50d12,,e3ed3488ce31fa62c7f50d12,农业银行
华亭镇浏翔公路7255号,嘉定区,上海市,1,31.476378,121.288898,中国农业银行24小时自助银行(上海华亭支行),上海市,4edf9fbf0ce7d795cd06a48f,,4edf9fbf0ce7d795cd06a48f,农业银行
南新路336号,嘉定区,上海市,1,31.435125,121.223722,中国农业银行24小时自助银行(上海娄塘支行),上海市,,,5ee6bc2da0bd2bf5ab059d42,农业银行
沙河路337号,嘉定区,上海市,1,31.246434,121.337582,中国农业银行24小时自助银行(上海慧创支行),上海市,2394588a045e172326e0a037,,0a46dc0f299ac82030621255,农业银行
人民街18号,嘉定区,上海市,1,31.388406,121.25371,中国农业银行嘉定支行个贷中心,上海市,2d87f8c66208b3fd25d2bb93,,2d87f8c66208b3fd25d2bb93,农业银行
宝安公路3705弄1号西门,嘉定区,上海市,1,31.33122,121.274823,中国农业银行ATM(上海包装城大楼南),上海市,21b4eadec478d26ef4b9166d,,21b4eadec478d26ef4b9166d,农业银行
上海市嘉定区阿克苏路1366号附近,嘉定区,上海市,1,31.35706,121.266,中国农业银行24小时自助银行服务(上海嘉定新城支行),上海市,9678e60453e0b3eb4afd3ff4,,9678e60453e0b3eb4afd3ff4,农业银行
梅川路1808号,嘉定区,上海市,1,31.254403,121.378657,中国农业银行24小时自助银行(梅川路),上海市,0660b37a7629ac1d14c8f6fd,,7821901f7d25589bd92f2814,农业银行
上海市嘉定区和政路272号,嘉定区,上海市,1,31.388003,121.278978,中国农业银行24小时自助银行(和政路),上海市,2018b2904d861793354aae3a,,2018b2904d861793354aae3a,农业银行
上海市嘉定区马陆镇沪宜公路2255号,嘉定区,上海市,1,31.340872,121.288232,中国农业银行24小时自助银行(上海马陆支行),上海市,af1ae56b06ce306f4307c1b2,(021)59157465,af1ae56b06ce306f4307c1b2,农业银行
翔封路13号,嘉定区,上海市,1,31.274652,121.301363,中国农业银行24小时自助银行(上海封浜分理处),上海市,121fdbad4895f3988e7727ec,,e21ff4fe57a3ed538d772760,农业银行
新建一路1652号,嘉定区,上海市,1,31.421081,121.285242,中国农业银行24小时自助银行(上海徐行支行),上海市,e56bf5e34e8333390682c2b2,,e56bf5e34e8333390682c2b2,农业银行
上海市嘉定区塔城路826,嘉定区,上海市,1,31.378291,121.245134,中国农业银行(嘉西支行)24小时自助银行服务(塔城路),上海市,de480b36a447544bb6265539,,de480b36a447544bb6265539,农业银行
叶城路818号,嘉定区,上海市,1,31.371168,121.258485,中国农业银行24小时自助银行(上海嘉定开发区支行),上海市,54194303f96899bd85154147,,54194303f96899bd85154147,农业银行
上海市昌吉路185号,嘉定区,上海市,1,31.300651,121.169589,中国农业银行24小时自助银行(上海安亭支行),上海市,2848ffd65492c80e48cc4a12,,2848ffd65492c80e48cc4a12,农业银行
嘉行公路3211号,嘉定区,上海市,1,31.469248,121.246255,中国农业银行24小时自助银行(上海唐行分理处),上海市,95e3efbca8cbf32679b55c38,,95e3efbca8cbf32679b55c38,农业银行
宝安公路4501号,嘉定区,上海市,1,31.322348,121.225314,中国农业银行24小时自助银行(上海方泰分理处),上海市,44207646b61b7e6adeee8be6,,44207646b61b7e6adeee8be6,农业银行
嘉定区外冈镇外青松公路82号,嘉定区,上海市,1,31.367916,121.181833,中国农业银行24小时自助银行(上海外冈支行),上海市,,,d7fd2ad3b5c8ca550accdd95,农业银行
上海市嘉定区新郁路203号,嘉定区,上海市,1,31.250773,121.365081,中国农业银行24小时自助银行(泰宸分理处),上海市,7aea43b71272a6f97c29bde5,,7aea43b71272a6f97c29bde5,农业银行
上海市嘉定区曹安路1525号(轻纺市场边),嘉定区,上海市,1,31.257347,121.376229,中国农业银行24小时自助银行(上海真新分理处),上海市,1e357342959051ac5cd4fed8,,1e357342959051ac5cd4fed8,农业银行
戬浜镇嘉戬支路1号,嘉定区,上海市,1,31.385186,121.302139,中国农业银行24小时自助银行(上海戬浜分理处),上海市,0a15c7ec173ba8fdec74f890,,0a15c7ec173ba8fdec74f890,农业银行
上海市嘉定区嘉定镇人民街18号,嘉定区,上海市,1,31.388535,121.25369,中国农业银行24小时自助银行服务(上海嘉定城中支行),上海市,332de843e6fec381f603b82c,,332de843e6fec381f603b82c,农业银行
上海市嘉定区塔城路355号,嘉定区,上海市,1,31.385605,121.255639,中国农业银行24小时自助银行服务(上海嘉定支行营业部),上海市,5abc5fcb88a4eff42fb17e3e,,5abc5fcb88a4eff42fb17e3e,农业银行
上海市嘉定区江桥镇华江路18号,嘉定区,上海市,1,31.264011,121.352301,中国农业银行24小时自助银行服务(江桥镇华江路),上海市,7a120d4c9663ef2c78dbd25c,,7a120d4c9663ef2c78dbd25c,农业银行
上海市嘉定区黄渡镇绿苑路186号,嘉定区,上海市,1,31.275766,121.220733,中国农业银行24小时自助银行(上海黄渡支行),上海市,fd007c5ea99aa26da8f72912,,fd007c5ea99aa26da8f72912,农业银行
丰庄路713号上海市轻纺市场3层,嘉定区,上海市,1,31.259091,121.37313,ABC(轻纺市场店),上海市,c0020cc0e3e95db2b75f1e59,,c0020cc0e3e95db2b75f1e59,农业银行
安亭镇阜康西路328号,嘉定区,上海市,1,31.30403,121.161628,ABC(阜康西路店),上海市,06079779e97d589842d63ee9,,06079779e97d589842d63ee9,农业银行
