address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
上海市嘉定区陈翔路1557号,嘉定区,上海市,1,31.316829,121.324206,中国建设银行(宝翔路支行),上海市,4d518eff58590896d13ce398,"(021)59532310,(021)59532217",4d518eff58590896d13ce398
沪宜公路2239号,嘉定区,上海市,1,31.338824,121.289458,中国建设银行(上海马陆支行),上海市,8eb48fa1f4c714a7f22d839c,(021)59155012,8eb48fa1f4c714a7f22d839c
新成路265号,嘉定区,上海市,1,31.387115,121.274818,中国建设银行(上海新成路支行),上海市,c8e8f633f67ab26daa0dd890,(021)59999853,c8e8f633f67ab26daa0dd890
上海嘉定区安亭镇墨玉路28号,嘉定区,上海市,1,31.295846,121.169342,中国建设银行(上海安亭支行),上海市,e889a7444fb08ecb8605bf75,(021)59579001,e889a7444fb08ecb8605bf75
民主街230号,嘉定区,上海市,1,31.296389,121.315383,中国建设银行(上海南翔支行),上海市,a1418eb433a54d7eeae5829c,(021)59129965,a1418eb433a54d7eeae5829c
上海市嘉定区塔城路365号,嘉定区,上海市,1,31.384936,121.254729,中国建设银行(上海嘉定支行),上海市,060f5e53d011e7d6091cc795,(021)59528584,060f5e53d011e7d6091cc795
嘉松北路100号,嘉定区,上海市,1,31.369324,121.182116,中国建设银行(上海外冈支行),上海市,5e53af1a9b60f75e4051c095,(021)59588610,5e53af1a9b60f75e4051c095
上海市嘉定区万镇路611号,嘉定区,上海市,1,31.251809,121.382649,中国建设银行(上海真新支行),上海市,c4156ee772012aef76e5b62b,(021)59199228,c4156ee772012aef76e5b62b
上海市嘉定区嘉怡路138号,嘉定区,上海市,1,31.267591,121.354052,中国建设银行(上海江桥支行),上海市,5324bcbdea47686883a00cba,(021)59145583,5324bcbdea47686883a00cba
上海市嘉定区星华公路1708-1712号(双),嘉定区,上海市,1,31.277659,121.304052,中国建设银行(上海封浜支行),上海市,161a0ed2b211c5515dd4fe9c,,161a0ed2b211c5515dd4fe9c
绿苑路18号,嘉定区,上海市,1,31.273523,121.22206,中国建设银行(上海黄渡支行),上海市,61f634f6264ede796b49f3e6,(021)59597964,61f634f6264ede796b49f3e6
新郁路81号1层,嘉定区,上海市,1,31.247554,121.363718,中国建设银行(上海新郁路支行),上海市,3df91e617a15265728201a44,(021)39940070,3df91e617a15265728201a44
上海市嘉定区塔城路365号,嘉定区,上海市,1,31.384962,121.254898,中国建设银行上海嘉定支行小企业经营中心,上海市,ed91e0c27b00b37f621c67a1,,ed91e0c27b00b37f621c67a1
双单路1499号附近,嘉定区,上海市,1,31.332873,121.259612,中国建设银行24小时自助银行,上海市,,,c9947095284e6b8eca29153d
上海市嘉定区博园路1333-8号楼,嘉定区,上海市,1,31.26846,121.28444,中国建设银行24小时自助银行,上海市,,,e38a08a6063a00135e17c3fe
上海市嘉定区新成路265,嘉定区,上海市,1,31.386942,121.274878,中国建设银行24小时自助银行服务(新城路支行),上海市,03ab5ec53ce8369b2afc485c,,03ab5ec53ce8369b2afc485c
上海市嘉定区联西路63-3号鲜德宝生活广场1层,嘉定区,上海市,1,31.273593,121.257826,中国建设银行ATM(联西路),上海市,225840223c88bdd3eb1e9783,,225840223c88bdd3eb1e9783
沪宜公路1188-3号楼B座附近,嘉定区,上海市,1,31.303422,121.308985,中国建设银行24小时自助银行,上海市,20f9fdb1b200f6abb14c4937,,20f9fdb1b200f6abb14c4937
上海市嘉定区嘉怡路128号附近,嘉定区,上海市,1,31.267495,121.353974,中国建设银行24小时自助银行,上海市,,,a2d719de455cad94c33644cd
上海市嘉定区曹联路33号附近,嘉定区,上海市,1,31.276919,121.26102,中国建设银行24小时自助银行,上海市,f0aace5c2054036c3310af22,,f0aace5c2054036c3310af22
上海市嘉定区宝钱公路5000弄194-3号东70米,嘉定区,上海市,1,31.3885,121.157582,中国建设银行24小时自助银行,上海市,,,d0237263a2198070c1f1cfc8
上海市嘉定区嘉安公路3333弄东60米,嘉定区,上海市,1,31.338643,121.194302,中国建设银行24小时自助银行服务,上海市,,,b55f2aa9eb7b9bb1d92f28b7
上海市嘉定区城北路216号附近,嘉定区,上海市,1,31.396028,121.244072,中国建设银行24小时自助银行服务,上海市,,,4fcab62d237caf271329356d
上海市嘉定区新郁路81号,嘉定区,上海市,1,31.247474,121.363616,中国建设银行24小时自助银行服务(上海新郁路支行),上海市,3d1e765b52d0850e100daa7d,,3d1e765b52d0850e100daa7d
宝安公路3705弄1号西门,嘉定区,上海市,1,31.33126,121.274872,中国建设银行24小时自助银行(上海包装城大楼南),上海市,ea308cf5c585cfa88e77276c,,ea308cf5c585cfa88e77276c
上海市嘉定区丰庄路515号,嘉定区,上海市,1,31.25497,121.371276,中国建设银行24小时自助银行(上海丰庄路支行),上海市,992f5e0c0db56ba396ca0788,,992f5e0c0db56ba396ca0788
上海市嘉定区陈翔路1557,嘉定区,上海市,1,31.316864,121.324198,中国建设银行24小时自助银行(宝翔路支行),上海市,1f6b20d13597f0d017948e42,,1f6b20d13597f0d017948e42
清河路119号,嘉定区,上海市,1,31.388643,121.251995,中国建设银行24小时自助银行(清河路支行),上海市,c42622ca234fedc52fb17e1d,,c42622ca234fedc52fb17e1d
裕民路358号,嘉定区,上海市,1,31.375325,121.259997,中国建设银行24小时自助银行(上海嘉定南门支行),上海市,dd1efa500ddb1958a11de9fe,,dd1efa500ddb1958a11de9fe
上海市嘉定区冈峰公路21641号附近,嘉定区,上海市,1,31.36355,121.185175,中国建设银行24小时自助银行(冈峰公路),上海市,,,f5b97a39dcec9399b21e3677
嘉定区星华公路1708号,嘉定区,上海市,1,31.277689,121.304096,中国建设银行24小时自助银行(上海封浜支行),上海市,e116be541cede07ac81b959c,,e116be541cede07ac81b959c
