address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
深圳市宝安区裕安一路3030号,宝安区,深圳市,1,22.565932,113.893321,中国工商银行(尚都支行),广东省,61f634f6505e0c786b49f3f6,(0755)29639055,61f634f6505e0c786b49f3f6
深圳市福田区福强路4001号深圳文化创意园创意中心B座1层,福田区,深圳市,1,22.524472,114.051732,中国工商银行(益田支行),广东省,b533ea4a12646d414f6d4637,(0755)83818831,b533ea4a12646d414f6d4637
深圳市福田区福华路319号,福田区,深圳市,1,22.540259,114.074196,中国工商银行,广东省,80d439187a5607f5f9f0cb1e,,80d439187a5607f5f9f0cb1e
深圳市福田区莲花路2018号万科金色家园1楼C号,福田区,深圳市,1,22.55969,114.050544,中国工商银行(景田支行),广东省,08fc93df2c6e0b919b68b434,"(0755)83193145,(0755)83193144",08fc93df2c6e0b919b68b434
新湖路圣淘沙骏园1楼29-33号商铺,宝安区,深圳市,1,22.58078,113.869659,中国工商银行(西乡支行),广东省,cbb10880058b9d8251e5c51a,(0755)29653106,ffd6d403d36edd8c17b54bc0
深圳市龙华区龙华镇龙华人民路4086号工行大楼,龙华区,深圳市,1,22.658438,114.030859,中国工商银行(深圳龙华支行营业部),广东省,0a15c7ec44d379fced74f8e8,"(0755)27747189,(0755)29190608",0a15c7ec44d379fced74f8e8
广东省深圳市宝安区沙井街道新沙路510号,宝安区,深圳市,1,22.738105,113.816011,中国工商银行(沙井支行),广东省,78bd50f7a3464a5b30870ae0,(0755)27202391,78bd50f7a3464a5b30870ae0
深圳市宝安区建安一路56号,宝安区,深圳市,1,22.564288,113.916338,中国工商银行(深圳宝安支行营业部),广东省,ba78021a959410c3a2a93430,,ba78021a959410c3a2a93430
深圳市福田区滨河路联合广场A座首层,福田区,深圳市,1,22.535483,114.075355,中国工商银行(深圳福田支行营业部),广东省,2848ffd6e7ae9d0f48cc4a37,,2848ffd6e7ae9d0f48cc4a37
深圳市光明区光明街道华夏路怡景园7栋裙楼,光明区,深圳市,1,22.759925,113.948491,中国工商银行(深圳光明支行营业部),广东省,043272ec1ec5ca3a901fc940,"(0755)29199166,(0755)88219557",0dc3d82d20e2d91175e5b66b
深圳市福田区振华路中航苑飞亚达大厦首层,福田区,深圳市,1,22.550132,114.090522,中国工商银行(深圳振华支行),广东省,d4034eb3849e39f6c0364437,"(0755)83256049,(0755)83252976",d4034eb3849e39f6c0364437
福田区泰然五路天济大厦1楼,福田区,深圳市,1,22.537921,114.037425,中国工商银行(车公庙支行),广东省,04bdf4a32a04d44f354aae34,"(0755)83879119,(0755)83583807,(0755)83418812,(0755)83405025",04bdf4a32a04d44f354aae34
深圳市罗湖区宝安北路深圳国际商品交易大厦一楼层2039号,罗湖区,深圳市,1,22.567328,114.115283,中国工商银行(深圳深港支行),广东省,,(0755)82461392,677942b57de3865742d63eb6
深圳市光明区公明办事处宝安路第12号1楼A1号,光明区,深圳市,1,22.787144,113.895709,中国工商银行(深圳合水口支行),广东省,,"(0755)29199684,(0755)29429481",f9fd6062f081e2620f0e6b63
深圳市宝安区沙井街道中心路沙井时代中心一楼,宝安区,深圳市,1,22.735138,113.836472,中国工商银行(深圳新沙支行营业部),广东省,6fd22cd125a04af1e8f853f4,(0755)23015002,6fd22cd125a04af1e8f853f4
