address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
增城区御景路2号天一教育旁,增城区,广州市,1,23.308723,113.828487,中国工商银行(广州增城锦绣支行),广东省,,(020)32826183,593850fb06e59720de1e5281,工商银行
广州市增城区汽车城东路130-140号,增城区,广州市,1,23.143399,113.604034,中国工商银行(凤凰城支行),广东省,2848ffd68e1fe27249cc4a83,(020)32933123,2848ffd68e1fe27249cc4a83,工商银行
广东省广州市增城区荔星大道161号,增城区,广州市,1,23.297954,113.811102,中国工商银行(广州荔城支行),广东省,cc6ea359d141168895f08c28,,cc6ea359d141168895f08c28,工商银行
广州市增城区荔城镇夏街大道140号,增城区,广州市,1,23.284164,113.82958,中国工商银行(广州增城夏街支行),广东省,d5f93c0e7c3bc521eddfca9d,(020)82660162,d5f93c0e7c3bc521eddfca9d,工商银行
增城区中新镇风光路285号,增城区,广州市,1,23.29116,113.620849,中国工商银行(广州增城中新支行),广东省,8239933ab18d7bdd9122e086,(020)32983519,8239933ab18d7bdd9122e086,工商银行
增城区大敦大道165号,增城区,广州市,1,23.131079,113.664226,中国工商银行(广州新塘大墩支行),广东省,ec853d54ed9c898bab059d75,(020)32146558,ec853d54ed9c898bab059d75,工商银行
广州市增城区朱村大道西12号,增城区,广州市,1,23.278349,113.700903,中国工商银行(广州增城朱村支行),广东省,57cc8ab48a09cc412efaa7c3,(020)32835626,57cc8ab48a09cc412efaa7c3,工商银行
广州市增城区岗田路1号首层,增城区,广州市,1,23.17776,113.798578,中国工商银行(广州增城石滩支行),广东省,,(020)82453123,7eddb4de632c0a65d42ce213,工商银行
广州市增城区荔新十一路63号,增城区,广州市,1,23.173726,113.660245,中国工商银行(广州新塘沙埔支行),广东省,,(020)32983002,ad4fe05e7d76d4628605bfb1,工商银行
广州市增城区荔城镇中区荔乡路28号国土房管局荔明苑综合楼首层,增城区,广州市,1,23.294893,113.831016,中国工商银行(广州增城荔乡支行),广东省,,(020)82629106,c794367be938a6cdb11e36e2,工商银行
广州市增城区增江街增江大道南3号一幢101号,增城区,广州市,1,23.284344,113.851121,中国工商银行(广州增城增江支行),广东省,d6acaa7468c99b22c17da2a8,"(020)82739964,(020)32169029",d6acaa7468c99b22c17da2a8,工商银行
广州市增城区永宁街永顺路47-49号1-2层,增城区,广州市,1,23.183935,113.59366,中国工商银行(广州新塘永和支行),广东省,329c162c5db7d4c08b2fb579,"(020)82972676,(020)82971448",329c162c5db7d4c08b2fb579,工商银行
广州市增城区广深大道西405号,增城区,广州市,1,23.126716,113.586162,中国工商银行(广州新塘南安支行),广东省,74c933fbe604d65f9e82ea19,(020)82700128,74c933fbe604d65f9e82ea19,工商银行
新塘填港口大道336号群星新邨3栋至8栋的商业裙楼一层自编号015、016房号,增城区,广州市,1,23.134571,113.609836,中国工商银行(广州新塘火车站支行),广东省,67fde767c4d1200a4054d755,(020)32866162,67fde767c4d1200a4054d755,工商银行
广州市增城区新塘镇广园东碧桂园凤凰城凤妍苑二街2号101房,增城区,广州市,1,23.130825,113.584176,中国工商银行(广州新塘碧桂园支行),广东省,8ba99d6fbdf38014970319ae,(020)82453991,8ba99d6fbdf38014970319ae,工商银行
广州市增城区荔城镇挂绿路3号,增城区,广州市,1,23.294501,113.840351,中国工商银行(广州荔城镇挂绿路支行),广东省,,(020)82753403,872c554675d69bb44307c1ee,工商银行
广州市增城区新塘镇增城经济开发区香山大道2号,增城区,广州市,1,23.159822,113.636106,中国工商银行(广州增城开发区支行),广东省,,(020)32893001,2ca72d284167ba55be4842ef,工商银行
广州市增城区新塘镇解放北路159号首层,增城区,广州市,1,23.125063,113.620919,中国工商银行(广州新塘解放路支行),广东省,7bfa08fcb6f2dd7f24d2bbb4,(020)82693620,7bfa08fcb6f2dd7f24d2bbb4,工商银行
广州市增城区莲花路13号,增城区,广州市,1,23.290697,113.838493,中国工商银行(广州增城支行营业室),广东省,cad4e47990e758dcd8ecedb5,"(020)82744527,(020)82753244",cad4e47990e758dcd8ecedb5,工商银行
广州市增城区汽车城大道71号,增城区,广州市,1,23.142494,113.599453,中国工商银行(广州新塘支行营业室),广东省,908c0e56978891c2c9e33cad,"(020)82706690,(020)82708991",908c0e56978891c2c9e33cad,工商银行
方中四路3号附近,增城区,广州市,1,23.154702,113.659671,中国工商银行24小时自助银行,广东省,,,43bccf940cb5110732870a64,工商银行
广州市增城区解放北路122号新塘广场F1,增城区,广州市,1,23.12296,113.620025,中国工商银行ATM(新塘广场),广东省,adfba58f3201525888b9883e,,adfba58f3201525888b9883e,工商银行
增城区新塘镇广园东碧桂园凤凰城凤妍二街2号101房,增城区,广州市,1,23.130871,113.5835,中国工商银行24小时自助银行,广东省,e2f76e41908a104ecd04ef10,,e2f76e41908a104ecd04ef10,工商银行
广东省广州市增城区,增城区,广州市,1,23.142842,113.601167,中国工商银行ATM(广州新塘支行),广东省,8d0bc005618917e26f3e1b53,,8d0bc005618917e26f3e1b53,工商银行
广州市增城区岗田路1号,增城区,广州市,1,23.177722,113.798763,中国工商银行24小时自助银行(岗田路),广东省,,,c325b8195ae76d0b4f6d46d2,工商银行
增城区荔城镇御景路2号,增城区,广州市,1,23.308694,113.828428,中国工商银行24小时自助银行(广州增城锦绣支行),广东省,,,442076463225fa16deee8bdc,工商银行
广州市增城创业路161号菜鸟网络广州增城园区,增城区,广州市,1,23.332026,113.770023,中国工商银行自助银行(增城菜鸟物流园),广东省,,,d8069e58a98fb42c96ca070b,工商银行
广州市增城区荔城街夏街大道140号,增城区,广州市,1,23.284148,113.829582,中国工商银行24小时自助银行(夏街支行),广东省,b33e5761a0fc771483a00ccc,,b33e5761a0fc771483a00ccc,工商银行
增城区广深大道东128号,增城区,广州市,1,23.127474,113.639576,中国工商银行24小时自助银行(广州新塘牛仔城支行),广东省,615f9f8c039b4a930c0e6b75,,615f9f8c039b4a930c0e6b75,工商银行
