address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
中山路59,增城区,广州市,1,23.293874,113.842363,中国邮政储蓄银行(中山路支行),广东省,15a93810ce5156c015c8f6b4,(020)82757676,15a93810ce5156c015c8f6b4
增城区石滩镇三江溪头村西水电信综合楼首层,增城区,广州市,1,23.191018,113.859324,中国邮政储蓄银行(三江营业所),广东省,,(020)82917111,4cf8d24e2fd8d0e49df779ad
广州市增城区新业路新塘电信商务大厦北门一楼,增城区,广州市,1,23.125984,113.614749,中国邮政储蓄银行(石仔岭营业所),广东省,50fb64ff06ccf25de8f853b7,(020)82709929,50fb64ff06ccf25de8f853b7
增城区新塘大道西556号(美琳双语幼儿园对面),增城区,广州市,1,23.118792,113.593912,中国邮政储蓄银行(新康营业所),广东省,8fde79cc55d8f6be95ca07f1,(020)82671768,8fde79cc55d8f6be95ca07f1
永平镇永平街34号,增城区,广州市,1,23.182905,113.598186,中国邮政储蓄银行24小时自助银行(增城永和营业所),广东省,,,07f3c8b5f6fee21e6340a98f
增城区新塘镇白江村新康花园康乐苑A区11栋首层A21-A24,增城区,广州市,1,23.118927,113.593751,中国邮政储蓄银行24小时自助银行(增城新康营业所),广东省,2a3a7bbf6d4c68999e95dee9,,2a3a7bbf6d4c68999e95dee9
增城区石滩镇三江溪头村西水电信综合楼首层,增城区,广州市,1,23.19108,113.859221,中国邮政储蓄银行24小时自助银行(中山中路),广东省,,,335828bf0ada0ef02dfaa73e
增城区派潭镇群津路79号,增城区,广州市,1,23.494064,113.78785,中国邮政储蓄银行(派潭支行),广东省,,(020)82821122,341c35de72cb1cc3e60738f9
广东省广州市增城区永和镇永平街34号,增城区,广州市,1,23.182786,113.598281,中国邮政储蓄银行(永和支行),广东省,,"(020)82971173,(020)82973000",af1ae56b5ad26c124307c1b3
江龙大道39,增城区,广州市,1,23.135481,113.831426,中国邮政储蓄银行(江龙支行),广东省,,(020)82915974,9f97b1c53f09277bb64f54fe
增城区红荔路28号,增城区,广州市,1,23.178277,113.801975,中国邮政储蓄银行(石滩营业所),广东省,,(020)82923452,beabdbf437e42be57169d391
广州市增城区平安路3号,增城区,广州市,1,23.278798,113.705634,中国邮政储蓄银行(朱村储蓄所),广东省,41572e006bd460c9b55f1e96,(020)82858968,41572e006bd460c9b55f1e96
广东省广州市增城区荔新十三路94号,增城区,广州市,1,23.131199,113.619667,中国邮政储蓄银行(荔新路支行),广东省,8b49341654a8d3640d3dda6b,(020)82602816,8b49341654a8d3640d3dda6b
广东省广州市增城区菜园中路57号首层,增城区,广州市,1,23.307308,113.833346,中国邮政储蓄银行(菜园中营业所),广东省,0103738c76032f8a46e274d8,(020)82631114,0103738c76032f8a46e274d8
广州市增城区久裕大道久裕商贸城b7栋110~115号,增城区,广州市,1,23.129994,113.659892,中国邮政储蓄银行(大敦营业所),广东省,f3c4e5309259bd49d32dd695,(020)32923282,f3c4e5309259bd49d32dd695
广东省广州市增城区城东路57号海润投资大厦附近,增城区,广州市,1,23.143786,113.607808,中国邮政储蓄银行(海润投资大厦),广东省,244bd12cef0cdff3735e80a1,(020)95580,244bd12cef0cdff3735e80a1
广东省广州市增城区荔乡路26号之101/111号,增城区,广州市,1,23.295098,113.831396,中国邮政储蓄银行(荔乡路营业所),广东省,,(020)82621919,abc1a3025b492affaf31e5a4
增城区福和镇平中路9号福和电信大楼,增城区,广州市,1,23.361517,113.641901,中国邮政储蓄银行(增城福和营业所),广东省,,(020)82831196,cde9e2c735de55b4e91e97ab
广州市增城区中新镇风光路236号首层,增城区,广州市,1,23.292304,113.625226,中国邮政储蓄银行(增城中新营业所),广东省,e3082848c8e204bfb24c49ac,(020)82866761,e3082848c8e204bfb24c49ac
增城区新塘大道中20号,增城区,广州市,1,23.122704,113.623885,中国邮政储蓄银行(增城新塘大道支行),广东省,a2aff4eef199b3a325d2bb52,(020)82682878,a2aff4eef199b3a325d2bb52
广东省广州市增城区新塘镇新墩南区7号,增城区,广州市,1,23.114104,113.556864,中国邮政储蓄银行(广州市增城沙村营业所),广东省,5211d2193cfc93257dc876fe,(020)82701898,5211d2193cfc93257dc876fe
广东省广州市增城区中国邮政(派潭汽车客运站西北),增城区,广州市,1,23.494067,113.78785,中国邮政储蓄银行24小时自助银行(派潭支行),广东省,,,1ee1e209bfd7eb0340ab9a4c
广东省广州市增城区凤凰开发区汽车城东路8号增城市华兴商贸综合市场,增城区,广州市,1,23.143806,113.607815,中国邮政储蓄银行24小时自助银行服务(华兴商贸城支行),广东省,,,a27c1dc0de9ef5375fbe8642
广东省广州市增城区荔乡路26号,增城区,广州市,1,23.295293,113.831369,中国邮政储蓄银行24小时自助银行(岗前路营业所),广东省,65a4e6fb0cdfc53c2e4733e8,,65a4e6fb0cdfc53c2e4733e8
增城区福和镇平中路9号,增城区,广州市,1,23.361579,113.641819,中国邮政储蓄银行24小时自助银行(增城福和营业所),广东省,,,2fd2beab38007d2f7adbd2eb
拓展路与汇太东路交叉口东50米,增城区,广州市,1,23.137329,113.629637,中国邮政储蓄银行ATM,广东省,310ff1d33c5a058ca01de9ba,,310ff1d33c5a058ca01de9ba
富宁路与隶园中路交叉口西北50米,增城区,广州市,1,23.305406,113.836903,中国邮政储蓄银行24小时自助银行(富宁路),广东省,13efe6ea2c29ce4c45e2747a,,13efe6ea2c29ce4c45e2747a
菜园中路57号首层,增城区,广州市,1,23.307308,113.833319,中国邮政储蓄银行24小时自助银行(增城菜园中营业所),广东省,864d3dd7d1b7c49b047ce8d6,,864d3dd7d1b7c49b047ce8d6
红荔路28号,增城区,广州市,1,23.178197,113.801925,中国邮政储蓄银行24小时自助银行(红荔路店),广东省,,,ed83a177a05ad2dde9f853a7
久裕大道久裕商贸城B7栋110～115号,增城区,广州市,1,23.130081,113.660069,中国邮政储蓄银行24小时自助银行(增城大敦营业所),广东省,0360e9b78c6f74778936ee8d,,0360e9b78c6f74778936ee8d
广深大道西639,增城区,广州市,1,23.114204,113.556763,中国邮政储蓄银行24小时自助银行(增城市沙村营业所),广东省,b292b3aaa7ee6028be48422b,,b292b3aaa7ee6028be48422b
增城区中新镇风光路238号首层、二层,增城区,广州市,1,23.292276,113.625133,中国邮政储蓄银行24小时自助银行(增城中新营业所),广东省,eef2d528f7830cd93be4a661,,eef2d528f7830cd93be4a661
广州市增城区平安路3号,增城区,广州市,1,23.278791,113.705611,中国邮政储蓄银行24小时自助银行(朱村储蓄所),广东省,8c998baf69043d6390114ca2,,8c998baf69043d6390114ca2
荔城镇民乐路24号,增城区,广州市,1,23.283402,113.826888,中国邮政储蓄银行24小时自助银行(增城区支行),广东省,,,99f130ee74c829a7901fc962
广州市增城区,增城区,广州市,1,23.131189,113.619586,中国邮政储蓄银行24小时自助银行(荔新路支行),广东省,1917fda41347f7d93ce231c0,,1917fda41347f7d93ce231c0
新塘镇群贤路255号1层,增城区,广州市,1,23.125763,113.614727,中国邮政储蓄银行24小时自助银行(石仔岭营业所),广东省,,,705cbf68ca902821c9fa5f79
新塘大道中20,增城区,广州市,1,23.122979,113.623945,中国邮政储蓄银行24小时自助银行(新塘大道支行),广东省,4a3903270b38630e725e803f,,4a3903270b38630e725e803f
中山路59,增城区,广州市,1,23.293937,113.842269,中国邮政储蓄银行ATM(中山路支行),广东省,bcff399067f6f1d61b94c6ad,,bcff399067f6f1d61b94c6ad
仙村一路与运河西路交叉口北50米,增城区,广州市,1,23.176121,113.724303,中国邮攻储蓄银行(仙村一路),广东省,,,2f6c4869f4eb74a730621253
广东省广州市增城区新塘镇致丰附近(新荔生态公园南100米),增城区,广州市,1,23.180896,113.687692,集中作业中心,广东省,,,bfbc42abed6aee61ede4a56a
