address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市大兴区小白楼路6号附近,大兴区,北京市,1,39.765382,116.39706,北京市农村商业银行,北京市,0ec043698597ebe049fc8d9b,"4006696198,96198",0ec043698597ebe049fc8d9b
北京市大兴区北环西路8号,大兴区,北京市,1,39.806142,116.488491,北京农村商业银行(亦庄支行),北京市,fa7da3e88118f06243d63e9c,(010)67881644,fa7da3e88118f06243d63e9c
旧宫镇旧宫东路90号,大兴区,北京市,1,39.810782,116.452215,北京农村商业银行(旧宫支行),北京市,35debf290506de44a7da399c,"4006696198,96198",35debf290506de44a7da399c
黄村镇清澄名苑南区31号楼政府综合服务大厅内,大兴区,北京市,1,39.742537,116.338674,北京农村商业银行(清澄支行),北京市,f4460918f2a5296ab11e36ed,"4006696198,96198",f4460918f2a5296ab11e36ed
西红门镇金星庄村黄亦路50号,大兴区,北京市,1,39.770322,116.389867,北京农村商业银行(金星支行),北京市,bf29b702aafc9e9908b93a9c,"4006696198,96198",bf29b702aafc9e9908b93a9c
大兴区黄村东大街9号,大兴区,北京市,1,39.73783,116.349572,北京农村商业银行(大兴支行),北京市,4ce10ce6f6de06a1441a32ed,,4ce10ce6f6de06a1441a32ed
大兴区黄村镇兴华路216号,大兴区,北京市,1,39.761802,116.339599,北京农村商业银行(黄村支行),北京市,8fde79cc5635f1c294ca0798,(010)69266642,8fde79cc5635f1c294ca0798
北京市大兴区黄村西大街6号,大兴区,北京市,1,39.737176,116.34515,北京农村商业银行(兴城分理处),北京市,b7021bf8ead630faf4e73bed,"(010)69247786,(010)69254047",b7021bf8ead630faf4e73bed
北京市大兴区礼贤镇礼贤民族中学南边,大兴区,北京市,1,39.564605,116.466863,北京市农村商业银行(礼贤分理处),北京市,,(010)89271252,4bb049d9e01e0744980050bb
新源大街与永旺路交叉口东150米,大兴区,北京市,1,39.687015,116.328933,北京市农村商业银行(北臧村支行),北京市,53ee024363a1ba864207c1d5,(010)61253449,90030beb022499cfbe48422f
京开路中国农业银行南侧30米,大兴区,北京市,1,39.636635,116.332571,北京市农村商业银行(庞各庄支行),北京市,,(010)89287419,d1469ee72150d861853304b5
北京市大兴区采育镇育林街2号院5号楼1-2层,大兴区,北京市,1,39.665825,116.641705,北京市农村商业银行(采育支行),北京市,,,fc7d1005f7816154c6effb69
