address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
北京市大兴区中国邮政储蓄银行(团河苑小区北),大兴区,北京市,1,39.747588,116.378327,中国邮政储蓄银行(团河支行),北京市,d7fd2ad368f69f570accdda9,(010)61296974,d7fd2ad368f69f570accdda9,邮政储蓄银行
旧宫镇清逸园西区商品楼1层甲一号,大兴区,北京市,1,39.811503,116.450891,中国邮政储蓄银行(旧宫支行),北京市,dfdc474129bbee782dfaa7f2,(010)87965943,dfdc474129bbee782dfaa7f2,邮政储蓄银行
北京市大兴区青老路联合沃美超市西北侧60米,大兴区,北京市,1,39.684928,116.520291,中国邮政储蓄银行(邮政储蓄银行),北京市,,(010)80281171,925c550f1101f8b25a3ac8e8,邮政储蓄银行
黄鹅路,大兴区,北京市,1,39.759452,116.296381,中国邮政储蓄银行(芦城营业所),北京市,d991e1160d7fec2b1e3894b0,(010)61239806,d991e1160d7fec2b1e3894b0,邮政储蓄银行
北京市大兴区西红门镇宏旭路223号,大兴区,北京市,1,39.790884,116.337432,中国邮政储蓄银行(西红门支行),北京市,74c933fbb5ca0b5d9e82ea55,(010)60251478,74c933fbb5ca0b5d9e82ea55,邮政储蓄银行
北京市大兴区经济技术开发区天宝园五里一区22号楼A9号,大兴区,北京市,1,39.796868,116.503388,中国邮政储蓄银行(天宝园路营业所),北京市,dd29cbde1dfb448e1fe9995a,"(010)67820362,(010)67829682",dd29cbde1dfb448e1fe9995a,邮政储蓄银行
武警路临48号,大兴区,北京市,1,39.790877,116.292827,中国邮政储蓄银行(狼垡支行),北京市,dc0a7d89a3abe10b51e5c5cc,95580,dc0a7d89a3abe10b51e5c5cc,邮政储蓄银行
兴华园彩虹新城S2商业楼,大兴区,北京市,1,39.754631,116.339512,中国邮政储蓄银行(兴华大街),北京市,2b85843fdb6b8f837bf796e6,(010)69292355,2b85843fdb6b8f837bf796e6,邮政储蓄银行
北京市大兴区滨河街27号水晶之星底商一层,大兴区,北京市,1,39.763277,116.346807,中国邮政储蓄银行(康庄路店),北京市,0883aec3f66a6b7945e274de,"(010)81294291,(010)81294094",0883aec3f66a6b7945e274de,邮政储蓄银行
采辛路农村商业银行东北侧90米,大兴区,北京市,1,39.661332,116.633831,中国邮政储蓄银行(采辛路店),北京市,,95580,4ea3f2f1010bdcaaaecb66f0,邮政储蓄银行
北京市大兴区魏善庄镇黄徐路附近,大兴区,北京市,1,39.671543,116.419854,中国邮政储蓄银行(魏善庄),北京市,,,7524cb4fb4a9773404026ff1,邮政储蓄银行
北京市大兴区黄村镇北臧村天河西路19号,大兴区,北京市,1,39.697936,116.326158,中国邮政储蓄银行(埝坛支行),北京市,2cc3c8e8b40637d54c2fdfa9,(010)61252695,2cc3c8e8b40637d54c2fdfa9,邮政储蓄银行
黄村镇广茂大街西侧5号,大兴区,北京市,1,39.766279,116.354436,中国邮政储蓄银行(广茂大街支行),北京市,f300a8e93aecff4b09a8d445,(010)61274264,f300a8e93aecff4b09a8d445,邮政储蓄银行
北京市大兴区兴丰大街3段88号,大兴区,北京市,1,39.73533,116.34649,中国邮政储蓄银行(大兴区支行),北京市,637df60acb1e977240afe6ed,(010)69243272,637df60acb1e977240afe6ed,邮政储蓄银行
北京市大兴区凤河营村凤福街,大兴区,北京市,1,39.619994,116.702579,中国邮政储蓄银行(凤河营营业所),北京市,,(010)80202990,d7b7b73452366173d3ff230a,邮政储蓄银行
青采路,大兴区,北京市,1,39.688594,116.60946,中国邮政储蓄银行(长子营邮政所),北京市,,(010)80266424,945bab7f44f36e320f0e6b39,邮政储蓄银行
