address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
深圳市宝安区石岩街道塘头大道48号,宝安区,深圳市,1,22.658522,113.925163,中国邮政储蓄银行(塘头支行),广东省,e93761f6367f2671223bf217,(0755)81790993,e93761f6367f2671223bf217
深圳市宝安区宝安大道4016-9,宝安区,深圳市,1,22.591698,113.865413,中国邮政储蓄银行(深圳宝安区银田营业所),广东省,cde9e2c75d1bedb7e81e97e3,(0755)23497199,cde9e2c75d1bedb7e81e97e3
广东省深圳市宝安区新湖路西城雅筑1层,宝安区,深圳市,1,22.568777,113.884509,中国邮政储蓄银行24小时自助银行服务(深圳宝城支行),广东省,69006dc5f5cc832db6147f57,,69006dc5f5cc832db6147f57
广东省深圳市宝安区新湖路西城雅筑1楼麦当劳旁边,宝安区,深圳市,1,22.568774,113.884508,中国邮政储蓄银行(宝城支行),广东省,ccb872c475042f2eeaf8536e,(0755)81777168,ccb872c475042f2eeaf8536e
广东省深圳市宝安区新和大道48号安达通大厦1层,宝安区,深圳市,1,22.758457,113.828875,中国邮政储蓄银行(新和支行),广东省,,(0755)27222299,0c542d01bc7a07ed71210b43
广东省深圳市宝安区沙井街道新沙路571号,宝安区,深圳市,1,22.738109,113.818874,中国邮政储蓄银行(沙井支行),广东省,9ee392b8778f733cbbbd6342,(0755)27202888,9ee392b8778f733cbbbd6342
深圳市宝安区西乡街道龙吟二路21-23号,宝安区,深圳市,1,22.582928,113.886336,中国邮政储蓄银行(西乡支行),广东省,7b0f4f9e5927daa8e6e96507,(0755)29635800,7b0f4f9e5927daa8e6e96507
广东省深圳市宝安区沙井街道中心路又一城时尚广场一层(万佳百货旁),宝安区,深圳市,1,22.734614,113.833232,中国邮政储蓄银行(新沙支行),广东省,74c5dfd64b33afa429fc48aa,(0755)29863557,74c5dfd64b33afa429fc48aa
广东省深圳市宝安区新安二路88号,宝安区,深圳市,1,22.566879,113.918177,中国邮政储蓄银行(深圳新安支行),广东省,6c9845503fcd0f199d82ea1b,(0755)27783162,6c9845503fcd0f199d82ea1b
广东省深圳市宝安区燕罗公路168号,宝安区,深圳市,1,22.801625,113.874959,中国邮政储蓄银行(燕川营业所),广东省,,(0755)27146655,43b7e889e91a2d1758f6be42
深圳市宝安区松岗街道胜利路1号,宝安区,深圳市,1,22.768271,113.855792,中国邮政储蓄银行(深圳松岗支行),广东省,c7cf358b0a52dceaf70e775d,(0755)27553183,c7cf358b0a52dceaf70e775d
广东省深圳市宝安区福永街道桥头社区永福路77号,宝安区,深圳市,1,22.683251,113.808085,中国邮政储蓄银行(永福路支行),广东省,748ed802ce1540c2fbdc854b,(0755)27328713,748ed802ce1540c2fbdc854b
广东省深圳市宝安区西乡街道前进二路旁凤凰岗第二工业区,宝安区,深圳市,1,22.599209,113.886257,中国邮政储蓄银行(前进营业所),广东省,49a02a7a8f96c53d2b201a61,(0755)29901119,49a02a7a8f96c53d2b201a61
宝民一路215号宝通大厦1层,宝安区,深圳市,1,22.573102,113.90255,中国邮政储蓄银行(裕安营业所),广东省,850815e113b0f69b43e192f6,(0755)27802203,850815e113b0f69b43e192f6
广东省深圳市宝安区石岩街道水田社区宝石东路85号1楼东面,宝安区,深圳市,1,22.689221,113.969129,中国邮政储蓄银行(水田营业所),广东省,8cba4bb02ca5f5f9ad045763,(0755)95580,8cba4bb02ca5f5f9ad045763
广东省深圳市宝安区沙井街道107国道82号,宝安区,深圳市,1,22.72067,113.844582,中国邮政储蓄银行(深圳新桥支行),广东省,dffd631cc957fabc39221ce0,(0755)27298321,dffd631cc957fabc39221ce0
深圳市宝安区福永凤塘大道华丰科技园2号1楼,宝安区,深圳市,1,22.706666,113.799095,中国邮政储蓄银行(深圳凤塘支行),广东省,3d1401e1fdb695b3c9e33ca7,(0755)81451764,3d1401e1fdb695b3c9e33ca7
深圳市宝安区西乡街道洲石公路九围段乌石脚综合楼1楼,宝安区,深圳市,1,22.659152,113.870185,中国邮政储蓄银行(九围营业所),广东省,34e48508721e80e1d8d891e3,(0755)29914618,34e48508721e80e1d8d891e3
深圳市宝安区村内工业区30号,宝安区,深圳市,1,22.634259,113.853305,中国邮政储蓄银行(深圳黄田支行),广东省,0ccf6538bacd76d6c91b9521,(0755)29982010,0ccf6538bacd76d6c91b9521
广东省深圳市宝安区松岗街道红星社区松明大道105号一层,宝安区,深圳市,1,22.77201,113.84816,中国邮政储蓄银行(深圳红星支行),广东省,bfc4fba529bf4587be4842e8,(0755)27092668,bfc4fba529bf4587be4842e8
广东省深圳市宝安区松岗街道塘下涌二村广田路143号,宝安区,深圳市,1,22.806947,113.849223,中国邮政储蓄银行(塘下涌营业所),广东省,,(0755)29901088,d24e48eb8ad1cdc9afee7a16
深圳市宝安区沙井街道金荣诚大厦一楼,宝安区,深圳市,1,22.724,113.791362,中国邮政储蓄银行(锦绣营业所),广东省,c5ddcc08cda0fec6d91318e0,(0755)27561239,c5ddcc08cda0fec6d91318e0
宝安区福永街道福永大道120号,宝安区,深圳市,1,22.675537,113.827859,中国邮政储蓄银行(深圳福永支行),广东省,631c4157a900116130f71de0,(0755)27394488,631c4157a900116130f71de0
广东省深圳市宝安区西乡街道固戍一路固戍华庭1层B1-3号,宝安区,深圳市,1,22.607907,113.869193,中国邮政储蓄银行(深圳固戍支行),广东省,7a132755e4b3623401294f5a,(0755)27495003,8d4a821919db10fa3be4a6b1
宝安区深圳名优工业产品展示采购中心B座一楼,宝安区,深圳市,1,22.57389,113.872436,中国邮政储蓄银行(深圳宝源支行),广东省,868cb62364684e09b54f5468,(0755)23008332,868cb62364684e09b54f5468
广东省深圳市宝安区新安街道新安四路旭仕达名苑1栋101A号101B号114号115号,宝安区,深圳市,1,22.584941,113.898691,中国邮政储蓄银行(深圳新城支行),广东省,4399e56710818b99fd0eb082,(0755)29611500,4399e56710818b99fd0eb082
广东省深圳市宝安区西乡大道323号银星商务酒店一楼,宝安区,深圳市,1,22.5851,113.87669,中国邮政储蓄银行(宝安区支行),广东省,69fcd6dfbdcd1851cb291593,"(0755)29761198,(0755)29761138",69fcd6dfbdcd1851cb291593
广东省深圳市宝安区塘头大道宏发商业大厦1层2层39-12,宝安区,深圳市,1,22.669537,113.922606,中国邮政储蓄银行(深圳龙马营业所),广东省,67e7c5f3947b04a96168582b,"(0755)27628520,95580",4a2f0652bcaefe01c7f02527
深圳市宝安区松瑞路1号,宝安区,深圳市,1,22.761571,113.84481,中国邮政储蓄银行(深圳宝安区松裕营业所),广东省,0bceb1f7a43d2781fa0cad1b,(0755)81734266,0bceb1f7a43d2781fa0cad1b
