address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市密云区新中街15号,密云区,北京市,1,40.390813,116.858661,中国工商银行(密云车站路支行),北京市,e8a42cf989471a0a32621203,"(010)69044449,(010)69043451",e8a42cf989471a0a32621203
北京市密云区花园路16号院5-8号,密云区,北京市,1,40.374733,116.864344,中国工商银行(北京阳光街支行),北京市,d41728f5e77edcdd04026f21,(010)61094025,d41728f5e77edcdd04026f21
北京市密云区新东路273号附近,密云区,北京市,1,40.384771,116.864913,中国工商银行(密云新东路支行),北京市,,,89011b3d2e73c32543afe663
北京市密云区新东路花园小区1号,密云区,北京市,1,40.381913,116.864649,中国工商银行(北京新东路支行),北京市,cc788fde04dc2e8a89fc0690,(010)69045440,cc788fde04dc2e8a89fc0690
北京市密云区新西路6号云光1层,密云区,北京市,1,40.383072,116.84019,中国工商银行(北京公园街支行),北京市,cf0ca62efdb302d24354d75a,"(010)69065047,(010)69045439,(010)69064947",cf0ca62efdb302d24354d75a
北京市密云区西大桥路19-2,密云区,北京市,1,40.372204,116.825731,中国工商银行(北京密云开发区支行),北京市,79cceb360e13ad891f580090,"(010)89096356,(010)89096303",79cceb360e13ad891f580090
北京市密云区鼓楼南大街,密云区,北京市,1,40.379302,116.851712,中国工商银行(密云支行营业部),北京市,850815e19ef17d9843e19233,"(010)69044447,(010)69041424",850815e19ef17d9843e19233
北京市密云区利民街25号,密云区,北京市,1,40.297767,116.772853,中国工商银行ATM,北京市,,,d75c0b405474964404fef51c
密云区新中街甲2号,密云区,北京市,1,40.390721,116.85882,中国工商银行24小时自助银行服务,北京市,9979aa20dcc15dc5260bd022,,9979aa20dcc15dc5260bd022
新东路277号(东门老城墙),密云区,北京市,1,40.384828,116.864955,中国工商银行24小时自助银行(新东路),北京市,37d60a46e811111e1f1d11bd,,37d60a46e811111e1f1d11bd
东源路31号,密云区,北京市,1,40.387335,116.859005,中国工商银行24小时自助银行(东源路),北京市,5a287598f95390e13f9a5ee4,,5a287598f95390e13f9a5ee4
密云区鼓楼东大街2号,密云区,北京市,1,40.381986,116.864686,中国工商银行24小时自助银行(新东路),北京市,26b45526aad83538fb2d612d,,26b45526aad83538fb2d612d
西大桥路19号,密云区,北京市,1,40.372279,116.825952,中国工商银行24小时自助银行服务(北京密云开发区支行),北京市,d0b8923f5910b9e2b4f42f90,,d0b8923f5910b9e2b4f42f90
密云区公安局出入境护照办事大厅,密云区,北京市,1,40.389311,116.833449,中国工商银行离行式自助服务区(北京分行密云区公安局出入境护照办事大厅),北京市,c2e63f73e9c2fc9f41d63e0a,,c2e63f73e9c2fc9f41d63e0a
密云金地来大酒店,密云区,北京市,1,40.375538,116.857189,中国工商银行离行式自助服务区(北京分行密云区金地来大酒店),北京市,2a38f3d4b09bdfc4471a32c1,,2a38f3d4b09bdfc4471a32c1
鑫海韵通百货密云店,密云区,北京市,1,40.38162,116.854911,中国工商银行离行式自助服务区(北京分行密云区鑫海韵通),北京市,276c3d8701a3aabd0b1cc79a,,276c3d8701a3aabd0b1cc79a
万都(北京)汽车底盘系统有限公司(北京市密云区云西七街15号南1门),密云区,北京市,1,40.365374,116.760715,中国工商银行离行式自助服务区(北京分行密云区万都（北京）汽车底盘系统有限公司),北京市,858f3567965dd1f32b201a53,,858f3567965dd1f32b201a53
古北口司马台综合检查站,密云区,北京市,1,40.641665,117.261375,中国工商银行离行式自助服务区(北京分行密云区古北口司马台综合检查站),北京市,,,ed39aa1982cadf8643ab9aa7
密云区医院(阳光街337号),密云区,北京市,1,40.379567,116.8754,中国工商银行离行式自助服务区(北京分行密云区医院),北京市,f860e73d5bfd6f403310af06,,f860e73d5bfd6f403310af06
超市发檀西店(密云区檀西路东侧长城环岛北),密云区,北京市,1,40.387573,116.872613,中国工商银行离行式自助服务区(北京分行密云区超市发檀西店),北京市,50cfaf5900752be42b02e1bd,,50cfaf5900752be42b02e1bd
物美大卖场鼓楼店(鼓楼南街1号),密云区,北京市,1,40.381031,116.85199,中国工商银行离行式自助服务区(北京分行密云区物美大卖场鼓楼店),北京市,536e9c3aadb38d0908f5eb48,,536e9c3aadb38d0908f5eb48
"北京市密云区花园路16号院5号楼5-7,5-8",密云区,北京市,1,40.37472,116.864485,中国工商银行24小时自助银行(北京阳光街支行),北京市,ae0e66aa8dffe9c6eddfcaa1,,ae0e66aa8dffe9c6eddfcaa1
鼓楼南大街7号,密云区,北京市,1,40.379406,116.851776,中国工商银行24小时自助银行服务(北京分行密云支行),北京市,080cf8b9adbb89ddc9e33c82,,080cf8b9adbb89ddc9e33c82
