address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市延庆区妫水南路18号院附近,延庆区,北京市,1,40.454373,115.99045,中国工商银行,北京市,,,93bad171ff183a46ad080ff9
延庆东街28号,延庆区,北京市,1,40.464336,115.978817,中国工商银行(北京延庆东街支行),北京市,93eac41c72e34ca8704b87e8,(010)69141789,93eac41c72e34ca8704b87e8
新兴小区0,延庆区,北京市,1,40.474333,115.993971,中国工商银行(自动柜员机店),北京市,5508504dfead2bcbc7f02526,,5508504dfead2bcbc7f02526
北京市延庆区延庆东街甲1号,延庆区,北京市,1,40.465022,115.981584,中国工商银行(延庆支行营业部),北京市,cd9d05ddfbe1feb685420e26,"(010)69141145,(010)69141391",cd9d05ddfbe1feb685420e26
北京市延庆区兴隆北街73号,延庆区,北京市,1,40.379908,115.907757,中国工商银行ATM(兴隆北街),北京市,b292b3aa79e1be56be484224,,b292b3aa79e1be56be484224
北京市延庆区,延庆区,北京市,1,40.464293,115.978511,中国工商银行ATM(延庆支行),北京市,52c95782480df8cea3acc403,,52c95782480df8cea3acc403
辉煌假日酒店,延庆区,北京市,1,40.48249,115.821723,中国工商银行离行式自助服务区(北京分行延庆支行北京辉煌益镜房地产开发有限公司辉煌假日酒店),北京市,,,a5597db9aa1d04bba4c7569b
白河堡0,延庆区,北京市,1,40.660961,116.17156,中国工商银行离行式自助服务区(北京分行延庆支行白河堡综合检查站),北京市,1ad2b4442cdf8c052a02e11d,,1ad2b4442cdf8c052a02e11d
苏庄村0,延庆区,北京市,1,40.515632,116.023499,中国工商银行离行式自助服务区(北京分行延庆支行苏庄村百果园度假村),北京市,decb12a4609aa2b50aa8d413,,decb12a4609aa2b50aa8d413
北京市延庆区税务局,延庆区,北京市,1,40.47893,115.996085,中国工商银行自助银行(北京市延庆区税务局C类),北京市,05a400546b5eb40d3904b125,,05a400546b5eb40d3904b125
北京市延庆区妫水南街18号,延庆区,北京市,1,40.454522,115.990347,中国工商银行24小时自助银行(妫水南街),北京市,b9e5d0b8d120dac280a12ebc,,b9e5d0b8d120dac280a12ebc
西康综合检查站0,延庆区,北京市,1,40.364066,115.90151,中国工商银行离行式自助服务区(北京分行延庆支行西康综合检查站),北京市,,,cccdca4437949dbebbbd63e9
延庆区甲1号,延庆区,北京市,1,40.464976,115.981783,中国工商银行24小时自助银行服务(北京分行延庆支行),北京市,,,904f4776d12e99a12811d17d
妫水北街15号,延庆区,北京市,1,40.468198,115.983924,中国工商银行24小时自助银行(北京延庆妫水北街支行),北京市,c7eca12b312b0c49e115f970,,c7eca12b312b0c49e115f970
川北小区5号楼,延庆区,北京市,1,40.469364,115.990207,中国工商银行24小时自助银行服务(北京分行延庆支行川北小区5号楼),北京市,,,71dbcbc175eeef64373a71bb
