address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
百莲路与菜园中街交叉口西100米,延庆区,北京市,1,40.452517,115.983644,中国邮政储蓄银行,北京市,c4a5c446c1867d4cf7e73b49,(010)61117085,c4a5c446c1867d4cf7e73b49,邮政储蓄银行
北京市延庆区康庄镇站南,延庆区,北京市,1,40.377703,115.910885,中国邮政储蓄银行(康庄支行),北京市,cc0849a0f946a12d950319a3,(010)61163242,cc0849a0f946a12d950319a3,邮政储蓄银行
庆园街16号,延庆区,北京市,1,40.476506,115.984277,中国邮政储蓄银行(庆园街支行),北京市,db1f39d467bfea12f4c59ca3,95580,db1f39d467bfea12f4c59ca3,邮政储蓄银行
北京市延庆区东外大街72,延庆区,北京市,1,40.46841,115.991965,中国邮政储蓄银行(延庆区支行),北京市,d305db1f60e9bb43922ca3a3,(010)69185122,d305db1f60e9bb43922ca3a3,邮政储蓄银行
北京市延庆区张山营镇文化活动中心旁,延庆区,北京市,1,40.484419,115.865977,中国邮政储蓄银行(张山营营业所),北京市,ab16a8090150de194d55470b,(010)69111574,ab16a8090150de194d55470b,邮政储蓄银行
北京市延庆区延庆镇高塔路格兰山水小区11号楼DS11-22号,延庆区,北京市,1,40.470919,115.981275,中国邮政储蓄银行24小时自助银行(高塔路营业所),北京市,918b684498b78152c7f0250a,,918b684498b78152c7f0250a,邮政储蓄银行
北京市延庆区康庄四街,延庆区,北京市,1,40.387289,115.907707,中国邮政储蓄银行(康庄四街营业所),北京市,,95580,48a50458080a773031870ab1,邮政储蓄银行
北京市延庆区八峪路辅路,延庆区,北京市,1,40.557003,116.095468,中国邮政储蓄银行(旧县支行),北京市,435d7aea7b762c355abbbc20,95580,435d7aea7b762c355abbbc20,邮政储蓄银行
延庆区八达岭镇西拨子村三枪电动车有限公司西北150米,延庆区,北京市,1,40.369556,115.973387,中国邮政储蓄银行(西拨子营业所),北京市,bd458983764a96160e3ddae6,(010)69120544,bd458983764a96160e3ddae6,邮政储蓄银行
北京市延庆区东外大街中国人寿保险股份有限公司,延庆区,北京市,1,40.469492,115.997451,中国邮政储蓄银行24小时自助银行(东外大街),北京市,0ab28c208796d6a0b04c495a,,0ab28c208796d6a0b04c495a,邮政储蓄银行
百莲路28-10号附近,延庆区,北京市,1,40.452508,115.983607,中国邮政储蓄银行24小时自助银行,北京市,52332c1784faa649ad04579a,,52332c1784faa649ad04579a,邮政储蓄银行
216省道(西拨子村卫生室西),延庆区,北京市,1,40.36957,115.973538,中国邮政储蓄银行24小时自助银行,北京市,1ea33bd3f143a4be343a7177,,1ea33bd3f143a4be343a7177,邮政储蓄银行
妫川中路22号,延庆区,北京市,1,40.467991,115.984688,中国邮政储蓄银行24小时自助银行(妫水北街),北京市,4cae97e52422a6f38bfc0698,,4cae97e52422a6f38bfc0698,邮政储蓄银行
北京市延庆区东外大街72,延庆区,北京市,1,40.468057,115.992972,中国邮政储蓄银行24小时自助银行(北京延庆区支行),北京市,d305db1ff80e2340932ca3c1,,d305db1ff80e2340932ca3c1,邮政储蓄银行
北京市延庆区香苑街,延庆区,北京市,1,40.475834,115.994103,中国邮政储蓄银行24小时自助银行服务(新兴小区邮政储蓄所),北京市,dffd631cd9e9eabc38221c26,,dffd631cd9e9eabc38221c26,邮政储蓄银行
北京市延庆区南街与黄甲巷交叉口北150米,延庆区,北京市,1,40.530568,116.173199,中国邮政储蓄银行ATM(永宁支行),北京市,a457a9ff4e431cbcfa0cadb9,,a457a9ff4e431cbcfa0cadb9,邮政储蓄银行
北京市延庆区八峪路辅路,延庆区,北京市,1,40.557162,116.095898,中国邮政储蓄银行ATM(旧县支行),北京市,d16032355287fa8beb1e973f,,d16032355287fa8beb1e973f,邮政储蓄银行
北京市延庆区新城街新兴小区内,延庆区,北京市,1,40.475423,115.994197,新兴小区邮政储蓄(新兴小区邮政储蓄所),北京市,70924240e4a6055fd4851f80,(010)69180774,70924240e4a6055fd4851f80,邮政储蓄银行
北京市延庆区西官路南150米,延庆区,北京市,1,40.378831,115.905412,中国邮政储蓄银行ATM(康庄三街西南),北京市,69ee613632aef430cd04eff6,,69ee613632aef430cd04eff6,邮政储蓄银行
北京市延庆区康庄镇政府南,延庆区,北京市,1,40.387274,115.907761,中国邮政储蓄银行ATM(康庄四街营业所),北京市,,,4a66a128fbe64fdd9122e000,邮政储蓄银行
