address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
杨宋镇凤翔科技开发区四园1号,怀柔区,北京市,1,40.301188,116.69005,北京市农村商业银行(杨宋支行),北京市,41572e0053af08b4b45f1e72,"4006696198,96198",41572e0053af08b4b45f1e72
杨宋镇杨宋庄村兴杨路22号,怀柔区,北京市,1,40.29613,116.690347,北京市农村商业银行(凤翔分理处),北京市,7d5f3a0afccf944b2cb90872,"4006696198,96198",7d5f3a0afccf944b2cb90872
渤海镇沙峪村350号,怀柔区,北京市,1,40.418489,116.483289,北京市农村商业银行(渤海支行),北京市,db1f39d427f7aa6ff5c59c6c,"4006696198,96198",db1f39d427f7aa6ff5c59c6c
渤海镇三渡河村33号,怀柔区,北京市,1,40.383698,116.561832,北京农村商业银行(辛营分理处),北京市,8d96925c907a1145c1f1cf6f,(010)61621499,8d96925c907a1145c1f1cf6f
北京市怀柔区幸福西街17号,怀柔区,北京市,1,40.332332,116.70198,北京市农村商业银行(北房支行),北京市,befdb292cf19c09d87154129,(010)61681807,befdb292cf19c09d87154129
怀北镇西庄村317号,怀柔区,北京市,1,40.396644,116.696457,北京市农村商业银行(怀北支行),北京市,4edf9fbfce851194cc06a46e,(010)69661182,4edf9fbfce851194cc06a46e
北京市怀柔区庙城镇高两河村西侧九樨餐厅对面,怀柔区,北京市,1,40.294352,116.659678,北京市农村商业银行(两河分理处),北京市,0adce3e245efc16180a00c72,"4006696198,96198",0adce3e245efc16180a00c72
九渡河镇黄坎村281号,怀柔区,北京市,1,40.36647,116.476412,北京市农村商业银行(黄坎分理处),北京市,d305db1f20a1fb3e932ca36c,"4006696198,96198",d305db1f20a1fb3e932ca36c
怀柔区雁栖镇下庄村435号,怀柔区,北京市,1,40.364072,116.66504,北京市农村商业银行(雁栖支行),北京市,07f3c8b5ee988a636240a96e,"4006696198,96198",07f3c8b5ee988a636240a96e
北京市怀柔区桥梓镇怀长路桥梓镇农贸市场对面,怀柔区,北京市,1,40.29707,116.585806,北京市农村商业银行(桥梓支行),北京市,cac5fc76124a0ff32cb96d76,(010)69675148,cac5fc76124a0ff32cb96d76
北京市怀柔区长哨营满族乡中心小学(京加路北),怀柔区,北京市,1,40.798954,116.752073,北京市农村商业银行(长哨营分理处),北京市,,(010)60621815,3a0a78bdd38e15fa6318096b
金台园56号楼2单元101、102,怀柔区,北京市,1,40.327829,116.646085,北京市农村商业银行(金台园分理处),北京市,b3aa435d03a6c77615764353,"4006696198,96198",b3aa435d03a6c77615764353
宝山镇宝山寺村连香小卖部东北80米,怀柔区,北京市,1,40.702383,116.575131,北京市农村商业银行(宝山寺分理处),北京市,,"4006696198,96198",2848ffd6967a8a0f48cc4a6b
琉璃庙镇琉璃庙村155号,怀柔区,北京市,1,40.634006,116.657508,北京市农村商业银行(琉璃庙分理处),北京市,,"4006696198,96198",881a28e72a880347f942b268
迎宾北路18号,怀柔区,北京市,1,40.33444,116.645219,北京农村商业银行(怀柔支行),北京市,05dd7d5fbf78bc01ad080f72,"4006696198,96198",05dd7d5fbf78bc01ad080f72
九渡河镇九渡河村1092号,怀柔区,北京市,1,40.371521,116.377964,北京市农村商业银行(怀柔支行九渡河分理处),北京市,2969c3ecaaf291386b49f3a5,(010)89606210,c879fa010543a54ac909f06c
南环路东关一区2号楼,怀柔区,北京市,1,40.314761,116.639895,北京市农村商业银行24小时自助银行服务(南环路分理处),北京市,76555a16e83371097f29bd3a,,76555a16e83371097f29bd3a
九渡河镇九渡河村1092号,怀柔区,北京市,1,40.371471,116.378012,北京市农村商业银行24小时自助银行服务(九渡河分理处),北京市,80f1970c1086e066c42ba1a3,,80f1970c1086e066c42ba1a3
北京市怀柔区顺义杨宋镇北年丰村村民委员会,怀柔区,北京市,1,40.272003,116.690675,北京农村商业银行atm,北京市,e19fe781f3804927130daacd,,e19fe781f3804927130daacd
北京市怀柔区琉璃庙镇琉璃庙村155号,怀柔区,北京市,1,40.634006,116.657508,北京市农村商业银行24小时自助银行(琉璃庙分理处),北京市,,,e3f031e46e1a72c721f017ab
渤海镇三渡河村33号,怀柔区,北京市,1,40.383656,116.561739,北京市农村商业银行24小时自助银行(辛营分理处),北京市,48ae60aee8c3732ca8175ae8,,48ae60aee8c3732ca8175ae8
杨宋镇杨宋庄村兴杨路22号,怀柔区,北京市,1,40.296191,116.690431,北京市农村商业银行24小时自助银行(怀柔支行凤翔分理处),北京市,f286148c242d51b80482c27c,,f286148c242d51b80482c27c
九渡河镇黄坎村281号,怀柔区,北京市,1,40.366432,116.476561,北京市农村商业银行24小时自助银行(黄坎分理处),北京市,78f068891998f8c3132935e7,,78f068891998f8c3132935e7
幸福西街17号,怀柔区,北京市,1,40.332375,116.702024,北京市农村商业银行24小时自助银行(幸福西街分理处),北京市,d6ee87244ae456e0a8f0cd72,,d6ee87244ae456e0a8f0cd72
渤海镇沙峪村350号,怀柔区,北京市,1,40.418427,116.483131,北京市农村商业银行24小时自助银行(渤海支行),北京市,18b1a983db2e0cf79868b42c,,18b1a983db2e0cf79868b42c
北京市怀柔区府前街14号京北大世界F2,怀柔区,北京市,1,40.321699,116.638571,北京市农村商业银行ATM(京北大世界),北京市,a082ec748407f9a3c51e515f,,a082ec748407f9a3c51e515f
农村商业银行两河分理处,怀柔区,北京市,1,40.29439,116.659592,北京市农村商业银行ATM(两河分理处),北京市,50fb64ffb2ada620e9f85353,,50fb64ffb2ada620e9f85353
北大街14,怀柔区,北京市,1,40.341476,116.644563,北京农商银行24小时自助银行(迎宾路分理处),北京市,93e357a4e59d90ac1ef74d7b,,93e357a4e59d90ac1ef74d7b
北京市怀柔区怀北镇青龙峡旅游区一石六景,怀柔区,北京市,1,40.458516,116.702688,北京农商银行24小时自助银行(北京怀柔青龙峡旅游度假区),北京市,,,291b5680711865cf1894c6b6
北京农村商业银行商业街分理处,怀柔区,北京市,1,40.321042,116.641792,北京农商银行24小时自助银行(商业街分理处),北京市,e005bec519d2ce9f9ff779d7,,e005bec519d2ce9f9ff779d7
兴怀大街甲16,怀柔区,北京市,1,40.327837,116.646348,北京农商银行24小时自助银行(金台园分理处),北京市,4bb049d9af954a399900502d,,4bb049d9af954a399900502d
迎宾北路18号,怀柔区,北京市,1,40.334379,116.645053,北京农商银行24小时自助银行服务(怀柔支行),北京市,ab41eb3f26a113702db908a5,,ab41eb3f26a113702db908a5
北京市怀柔区商业街东口,怀柔区,北京市,1,40.321037,116.641731,北京农商银行(商业街分理处),北京市,,(010)69622364,c025967143f5aa9f7069d3b7
北京市怀柔区北大街14号附近,怀柔区,北京市,1,40.340084,116.637273,北京农商银行,北京市,3237a28f660908f08bdb73c9,,3237a28f660908f08bdb73c9
富乐大街乐红园小区1号楼,怀柔区,北京市,1,40.347782,116.6401,北京农商银行(富乐支行),北京市,,,c39356d9e5688a49ca2915a7
北京市怀柔区科委西门外100米附近,怀柔区,北京市,1,40.360302,116.668087,北京农商银行24小时自助银行(八一路),北京市,05e0ad77069241a3e407385e,,05e0ad77069241a3e407385e
北京市怀柔区庙城顺河家园(富密路东),怀柔区,北京市,1,40.303664,116.629437,北京农商银行(庙城支行),北京市,9080a971654cb18ed92f2895,,9080a971654cb18ed92f2895
北京市怀柔区东方大街北50米,怀柔区,北京市,1,40.320358,116.648898,北京农商银行(东环路分理处),北京市,,,8d5b1dad6d53ec9fc26c14a9
怀黄公路与渤三路交叉口西150米,怀柔区,北京市,1,40.419725,116.514043,北京农商银行24小时自助银行,北京市,,,4e9804cfe8f9174b2fb908d0
市道008(人济庄园东北),怀柔区,北京市,1,40.296899,116.585927,北京农商银行24小时自助银行(桥梓支行),北京市,b27cc6c3d067dfe4d22dd6a5,,b27cc6c3d067dfe4d22dd6a5
北京市怀柔区青春路8号,怀柔区,北京市,1,40.32158,116.637244,北京农商银行(青春路支行),北京市,,,7ec1f4081259e09abe484236
北京市怀柔区雁栖镇京加路燕城北京农商银行,怀柔区,北京市,1,40.368246,116.668688,北京农商银行24小时自助银行(范各庄分理处),北京市,fa3986b7e1e7b454734b87fa,,fa3986b7e1e7b454734b87fa
北京市怀柔区北京农商银行(怀柔区宝山镇政府西北),怀柔区,北京市,1,40.702457,116.575145,北京农商银行24小时自助银行(宝山寺分理处),北京市,,,f5a68b188bc31f250d3dda27
北京市怀柔区怀柔镇红螺寺旅游区南门附近,怀柔区,北京市,1,40.381103,116.631343,北京农商银行24小时自助银行(红螺寺景区),北京市,07e6975e6c334d99970319f1,,07e6975e6c334d99970319f1
乐红园小区1号,怀柔区,北京市,1,40.347777,116.640114,北京农商银行24小时自助银行服务(富乐支行),北京市,,,78e182d348d9dfd3306212e7
北京市怀柔区青春路8,怀柔区,北京市,1,40.3217,116.637407,北京农商银行24小时自助银行服务(青春路支行),北京市,673a7b9457c6dfef593ac87e,,673a7b9457c6dfef593ac87e
北京市怀柔区金善名居(212县道西),怀柔区,北京市,1,40.29731,116.626739,北京农商银行24小时自助银行(金善名居北),北京市,271cc438643429a8c9c3dbf9,,271cc438643429a8c9c3dbf9
