address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市怀柔区南大街16号-301室,怀柔区,北京市,1,40.318105,116.63933,中国邮政储蓄银行,北京市,b9d1a6edf201105680a00c19,95580,b9d1a6edf201105680a00c19
北京市怀柔区G111(京加路),怀柔区,北京市,1,40.419394,116.687361,中国邮政储蓄银行(怀北庄营业所),北京市,,(010)69661672,23a14702f5416e7e17b54be7
北京市怀柔区青春路18号,怀柔区,北京市,1,40.323565,116.637358,中国邮政储蓄银行(北京怀柔区支行),北京市,b0d056f2cb33ab7dcac3db39,(010)69626806,b0d056f2cb33ab7dcac3db39
青春苑邮政所邮政储蓄,怀柔区,北京市,1,40.325829,116.63447,中国邮政储蓄银行24小时自助银行服务(青春苑邮政所邮政储蓄),北京市,a5bc44671bdf22ebb2077d79,,a5bc44671bdf22ebb2077d79
北京市怀柔区滨湖小区1号,怀柔区,北京市,1,40.331749,116.644195,中国邮政储蓄银行(迎宾路支行),北京市,2fd3bfb352059afccac3db4a,(010)60639501,2fd3bfb352059afccac3db4a
北京市怀柔区杨宋庄镇杨宋庄村凤翔公园旁,怀柔区,北京市,1,40.296568,116.68887,中国邮政储蓄银行(杨宋庄支行),北京市,631c41579f9f6f1c31f71d3c,(010)61675495,631c41579f9f6f1c31f71d3c
怀柔镇东关一区83号,怀柔区,北京市,1,40.320029,116.645623,中国邮政储蓄银行(东关营业所),北京市,6f16ad7c21a618d7f4c59c87,95580,6f16ad7c21a618d7f4c59c87
汤河口镇汤河口大街11号,怀柔区,北京市,1,40.742933,116.650426,中国邮政储蓄银行(汤河口支行),北京市,,95580,f2f15ffb456f9788631c676b
幸福大街8号,怀柔区,北京市,1,40.331893,116.703989,中国邮政储蓄银行(北房营业所),北京市,38749874296500b4c61e51b9,(010)61682650,38749874296500b4c61e51b9
北京市怀柔区于家园一区88号,怀柔区,北京市,1,40.338065,116.646908,中国邮政储蓄银行(于家园营业所),北京市,a3e8341c80ac7b954afd3f72,(010)69625909,a3e8341c80ac7b954afd3f72
北京市怀柔区范崎路和京加路交叉口,怀柔区,北京市,1,40.367362,116.667305,中国邮政储蓄银行(范各庄支行),北京市,92b806d2ad43ec8379b55cdd,(010)61641339,92b806d2ad43ec8379b55cdd
北京市怀柔区中国邮政,怀柔区,北京市,1,40.41949,116.687125,中国邮政储蓄银行24小时自助银行(京加路),北京市,8a31d673c551b8b4adcb663f,,8a31d673c551b8b4adcb663f
北京市怀柔区滨湖小区1号,怀柔区,北京市,1,40.33174,116.644054,中国邮政储蓄银行24小时自助银行服务(迎宾路支行),北京市,97cdefb530f644d42ce67b85,,97cdefb530f644d42ce67b85
北京市怀柔区兴杨路26号北60米,怀柔区,北京市,1,40.296592,116.688881,中国邮政储蓄银行24小时自助银行(杨宋庄支行),北京市,7991b28a147be67552e5c5eb,,7991b28a147be67552e5c5eb
南大街25-3号附近,怀柔区,北京市,1,40.318105,116.63933,中国邮政储蓄银行24小时自助银行,北京市,,,8eb1062addaa816740ab9a0b
北京市怀柔区青春路18号附近,怀柔区,北京市,1,40.323212,116.637293,中国邮政储蓄银行24小时自助银行服务(北京怀柔区支行),北京市,4ea3f2f1599004d4aecb6670,,4ea3f2f1599004d4aecb6670
北京市怀柔区于家园一区88号,怀柔区,北京市,1,40.341859,116.643365,中国邮政储蓄银行24小时自助银行(北大街支行),北京市,2a7a25ecc2637c1e6c3e1b3c,,2a7a25ecc2637c1e6c3e1b3c
东关邮政所邮政储蓄,怀柔区,北京市,1,40.320087,116.645991,中国邮政储蓄银行24小时自助银行(南大街),北京市,60e6930339c70bc51d580049,,60e6930339c70bc51d580049
北京市怀柔区北房幸福东园(幸福大街北),怀柔区,北京市,1,40.332017,116.716132,中国邮政储蓄银行24小时自助银行(幸福大街),北京市,5730c24e8012a3f4364aae60,,5730c24e8012a3f4364aae60
北京市怀柔区S308(怀长路),怀柔区,北京市,1,40.29655,116.579809,中国邮政邮政储蓄(桥梓支行),北京市,2ca58b6e18cf4711b9df8fae,(010)69675841,2ca58b6e18cf4711b9df8fae
北京市怀柔区北房镇北房村幸福大街8号,怀柔区,北京市,1,40.331948,116.704021,中国邮政储蓄银行ATM(富密路),北京市,8bc54dedfd58b25058f6be24,,8bc54dedfd58b25058f6be24
于家园一区88号,怀柔区,北京市,1,40.337929,116.646932,中国邮政储蓄银行24小时自助银行(于家园路),北京市,3b9167d5b087ad5d5cd4fe8b,,3b9167d5b087ad5d5cd4fe8b
北京市怀柔区燕城中国邮政(京加路北),怀柔区,北京市,1,40.367307,116.66721,中国邮政储蓄银行ATM(范各庄支行),北京市,87248d9672feffce2806ce39,,87248d9672feffce2806ce39
北京市怀柔区怀柔镇开放路下元市场中区,怀柔区,北京市,1,40.333106,116.652807,中国邮政储蓄银行ATM(下元邮政储蓄),北京市,,,6adde1b27062fe0c1ef74d85
