address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市昌平区回龙观西大街北店时代广场E座1层,昌平区,北京市,1,40.086087,116.34452,北京银行(回龙观支行),北京市,c13807f5abb1d7389d95dedb,,c13807f5abb1d7389d95dedb
北京市昌平区府学路9号,昌平区,北京市,1,40.227898,116.264369,北京银行(东关支行),北京市,,(010)80103702,487f5155a9da7ceba7c75679
北京市朝阳区东小口镇立汤路188号北方明珠大厦商业首层,朝阳区,北京市,1,40.063898,116.421358,北京银行(天通苑支行),北京市,4d87808ee282f8d95b1093fe,"(010)95526,(010)58608601",4d87808ee282f8d95b1093fe
北京市昌平区建材城西路87号院2上奥世纪B座1楼,昌平区,北京市,1,40.062964,116.33609,北京银行(西三旗支行),北京市,bdf192ead1ffd36f2dfaa718,(010)82969620,bdf192ead1ffd36f2dfaa718
北京市昌平区宏福大道商业街D栋,昌平区,北京市,1,40.108118,116.380453,北京银行(宏福大道),北京市,5b08edd49931a70e00ff2d5c,(010)81775199,5b08edd49931a70e00ff2d5c
政府街2号,昌平区,北京市,1,40.226947,116.245337,北京银行(昌平支行),北京市,9bdc73548b699f95c6effb66,(010)80103925,9bdc73548b699f95c6effb66
北京市昌平区北七家镇立汤路58号,昌平区,北京市,1,40.123205,116.419609,北京银行(北七家支行),北京市,41572e00f6ebebcab55f1ea5,(010)89756407,41572e00f6ebebcab55f1ea5
小汤山镇温泉街390号小汤山医院门诊楼,昌平区,北京市,1,40.185402,116.397185,北京银行ATM,北京市,,,49076f0eb3b9761151e5c553
北京市昌平区回龙观西大街19号,昌平区,北京市,1,40.086473,116.344876,北京银行理财中心,北京市,c3efa661d259128d52e5c5db,,c3efa661d259128d52e5c5db
北京市昌平区建材城西路87号2号楼1层,昌平区,北京市,1,40.06257,116.33678,北京银行24小时自助银行服务(西三旗支行),北京市,b07f44e3c30d2fba94ec8498,,b07f44e3c30d2fba94ec8498
北京市昌平区宏福大道,昌平区,北京市,1,40.108176,116.380392,北京银行24小时自助银行(宏福科技园支行),北京市,e50cfc7cc93999a02811d12a,,e50cfc7cc93999a02811d12a
北京市昌平区回龙观西大街北店时代广场E段,昌平区,北京市,1,40.085936,116.344623,北京银行24小时自助银行(回龙观支行),北京市,,,0ed20a155aedbde956bfff9e
北京市昌平区北京银行培训中心(怀昌路北),昌平区,北京市,1,40.242734,116.462916,北京银行培训中心,北京市,,,e84c4778094814b3b6f42f2f
北京市昌平区政府街2号,昌平区,北京市,1,40.22685,116.246108,北京银行24小时自助银行(昌平支行),北京市,d97e0f04902a66194c3a59cc,,d97e0f04902a66194c3a59cc
南店北路北50米,昌平区,北京市,1,40.073407,116.329529,北京银行24小时自助银行服务(南店北路),北京市,e66e9b5193c74a3eca291589,,e66e9b5193c74a3eca291589
北京市昌平区回龙观东大街199号南100米,昌平区,北京市,1,40.085778,116.353438,北京银行24小时自助银行,北京市,,,e2ca52c96d94569a17c8f69b
北七家镇立汤路58号1幢1层,昌平区,北京市,1,40.123197,116.419513,北京银行24小时自助银行(北七家支行),北京市,b388f9fd9f46ae3fb25c6aba,,b388f9fd9f46ae3fb25c6aba
