address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
广东省深圳市盐田区明珠大道和亨广场F1,盐田区,深圳市,1,22.595168,114.257713,中国工商银行(盐田港区支行),广东省,2fd24e08ab8dbaad7702690b,(0755)25200034,2fd24e08ab8dbaad7702690b,工商银行
深盐路海都花园首层,盐田区,深圳市,1,22.563098,114.245629,中国工商银行(沙头角保税区支行),广东省,49b8645ab0092ba9593ac88c,"(0755)25554193,(0755)25550343",49b8645ab0092ba9593ac88c,工商银行
盐田区盐田街道办永安北一街88号深圳义乌华贸国际电子商务商贸城首层,盐田区,深圳市,1,22.605618,114.250631,工商银行24小时自助银行,广东省,99b09651566b652b88db73af,,99b09651566b652b88db73af,工商银行
深圳市盐田区沙头角镇金融路99号,盐田区,深圳市,1,22.554433,114.237143,中国工商银行(深圳盐田支行营业部),广东省,09185c5673639f5df119372f,(0755)25558380,b719383705066963a21de9bb,工商银行
中英街18号附近,盐田区,深圳市,1,22.550239,114.237895,中国工商银行ATM,广东省,,,428b745b0efbf0c621f0179c,工商银行
盐田区大梅沙环梅路1号八十步海寓B栋2207铺,盐田区,深圳市,1,22.605492,114.315574,中国工商银行24小时自助银行(环梅路),广东省,cada294414c99f87badf8f6a,,cada294414c99f87badf8f6a,工商银行
盐田公安局,盐田区,深圳市,1,22.567854,114.251228,中国工商银行离行式自助服务区(深圳分行盐田支行盐田公安局),广东省,cff698f25206dcc9f33cba45,,cff698f25206dcc9f33cba45,工商银行
盐田区北山道北山工业区146号华大基因研究院办公大楼一楼,盐田区,深圳市,1,22.597035,114.270872,中国工商银行24小时自助银行(鸿安围西北),广东省,c16534056f6d9707ab175ae0,,c16534056f6d9707ab175ae0,工商银行
深圳市盐田区后方陆域和亨中心广场首层商铺,盐田区,深圳市,1,22.595169,114.257713,中国工商银行24小时自助银行(深圳盐田支行),广东省,cb4fd146b9bfe73f9c9d68a4,,cb4fd146b9bfe73f9c9d68a4,工商银行
盐田区政府办公楼,盐田区,深圳市,1,22.563426,114.243283,中国工商银行24小时自助银行(深圳分行盐田支行政府办公楼),广东省,4a0729b4eeb57f75100daa1e,,e5787c96a586d141f5c59c1d,工商银行
沙盐路2081号海都花园首层,盐田区,深圳市,1,22.563107,114.245623,中国工商银行24小时自助银行(深圳分行保税区支行沙盐路2081号),广东省,0972975314c47e5e2e4733f5,,0972975314c47e5e2e4733f5,工商银行
沙头角金融路99号,盐田区,深圳市,1,22.554362,114.237258,中国工商银行24小时自助银行(深圳分行盐田支行沙头角金融路),广东省,f9e91e9f880bdb2906fef5f8,,f9e91e9f880bdb2906fef5f8,工商银行
