address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
深圳市福田区福强路4001号深圳文化创意园创意中心B座1层,福田区,深圳市,1,22.524472,114.051732,中国工商银行(益田支行),广东省,b533ea4a12646d414f6d4637,(0755)83818831,b533ea4a12646d414f6d4637,工商银行
深圳市福田区福华路319号,福田区,深圳市,1,22.540259,114.074196,中国工商银行,广东省,80d439187a5607f5f9f0cb1e,,80d439187a5607f5f9f0cb1e,工商银行
深圳市福田区莲花路2018号万科金色家园1楼C号,福田区,深圳市,1,22.55969,114.050544,中国工商银行(景田支行),广东省,08fc93df2c6e0b919b68b434,"(0755)83193145,(0755)83193144",08fc93df2c6e0b919b68b434,工商银行
深圳市福田区滨河路联合广场A座首层,福田区,深圳市,1,22.535483,114.075355,中国工商银行(深圳福田支行营业部),广东省,2848ffd6e7ae9d0f48cc4a37,,2848ffd6e7ae9d0f48cc4a37,工商银行
深圳市福田区振华路中航苑飞亚达大厦首层,福田区,深圳市,1,22.550132,114.090522,中国工商银行(深圳振华支行),广东省,d4034eb3849e39f6c0364437,"(0755)83256049,(0755)83252976",d4034eb3849e39f6c0364437,工商银行
福田区泰然五路天济大厦1楼,福田区,深圳市,1,22.537921,114.037425,中国工商银行(车公庙支行),广东省,04bdf4a32a04d44f354aae34,"(0755)83879119,(0755)83583807,(0755)83418812,(0755)83405025",04bdf4a32a04d44f354aae34,工商银行
竹子林紫竹七道8号求是大厦2层,福田区,深圳市,1,22.540905,114.017117,中国工商银行(竹子林支行),广东省,ffd6d4037c1e668f17b54b37,(0755)82871126,ffd6d4037c1e668f17b54b37,工商银行
福田区莲花北村吉莲大厦1栋1层,福田区,深圳市,1,22.563989,114.055886,中国工商银行(深圳莲花北支行),广东省,f3cb93a543ef25feb5147f8c,(0755)83065835,f3cb93a543ef25feb5147f8c,工商银行
泰然九路23号,福田区,深圳市,1,22.541019,114.030179,中国工商银行(喜年支行),广东省,e47f156a796aa3c9734b87e4,(0755)82024469,b3aa435d5047900b15764337,工商银行
深圳市福田区红荔路四川大厦北附楼,福田区,深圳市,1,22.554858,114.101332,中国工商银行(深圳上步支行营业部),广东省,9ebc577a34af05282b3a9f75,"(0755)83673745,(0755)83673949",43b7e88980e9526a58f6be34,工商银行
深圳市福田区深南大道6008号特区报业大厦,福田区,深圳市,1,22.546759,114.05196,中国工商银行(深圳湾支行营业部),广东省,bdb4a3baf762a565ca09f02c,"(0755)83516296,(0755)83534120",bdb4a3baf762a565ca09f02c,工商银行
福田区香梅西路香蜜湖水榭花都会所1楼,福田区,深圳市,1,22.553945,114.044984,中国工商银行(香梅支行),广东省,befdb2929f0790e187154137,(0755)83052574,befdb2929f0790e187154137,工商银行
广东省深圳市福田区梅林路理想公馆一层,福田区,深圳市,1,22.575928,114.068106,中国工商银行(深圳湾梅林支行),广东省,81d6a5095f57db406e20b934,"(0755)83318410,(0755)83317727,(0755)83117895",81d6a5095f57db406e20b934,工商银行
"福田区益田路与福华一路交会处免税商务大厦首层101,102商铺",福田区,深圳市,1,22.543033,114.061567,中国工商银行(深圳免税大厦支行),广东省,a74481d680a4a846f503b834,"(0755)82766252,(0755)82766250,(0755)82766251",a74481d680a4a846f503b834,工商银行
深南大道2012号深圳证券交易所广场1层111号,福田区,深圳市,1,22.547101,114.059713,中国工商银行(中心区支行),广东省,aa78daa2b1b3252a3904b1cd,(0755)83220257,aa78daa2b1b3252a3904b1cd,工商银行
福中路国际人才大厦一楼,福田区,深圳市,1,22.550213,114.077458,中国工商银行(深圳国财支行),广东省,75d0881a344ad34d3a04b134,(0755)83272972,75d0881a344ad34d3a04b134,工商银行
深圳福田区福强路1063号京隆苑首层,福田区,深圳市,1,22.520622,114.065067,中国工商银行(深圳福强支行),广东省,28e700f1dd56d701095cb334,(0755)83864850,28e700f1dd56d701095cb334,工商银行
深圳市福田区八卦一路50号鹏基商务时空大厦首层商铺,福田区,深圳市,1,22.566559,114.102071,中国工商银行(八卦岭支行),广东省,3da907f3dd181e53b320a834,"(0755)82416665,(0755)82416662",3da907f3dd181e53b320a834,工商银行
深圳市福田中心区益田路4068号卓越时代广场一期一楼商铺,福田区,深圳市,1,22.539578,114.063519,中国工商银行(深圳卓越时代广场支行),广东省,186798e492428d81adcb6676,(0755)23989147,186798e492428d81adcb6676,工商银行
深圳市福田区益田路皇庭世纪裙楼金海马国际家居世博中心首层商铺,福田区,深圳市,1,22.530818,114.063658,中国工商银行(深圳福民支行),广东省,00f1c7fb1d10271fc056ac34,(0755)23971362,00f1c7fb1d10271fc056ac34,工商银行
深圳市福田区红荔路东海城市广场一层137-138号,福田区,深圳市,1,22.546458,114.027766,中国工商银行(深圳侨香支行),广东省,e889a744a77b76b58605bf34,"(0755)82700287,(0755)82700256,(0755)82700254",e889a744a77b76b58605bf34,工商银行
深圳市福田区园岭西路园中花园B座首层,福田区,深圳市,1,22.558122,114.104835,中国工商银行(园岭支行),广东省,4eb3b533dae7ee7543024537,(0755)25881313,4eb3b533dae7ee7543024537,工商银行
百花二路百花公寓3号楼1楼,福田区,深圳市,1,22.557765,114.099396,中国工商银行(百花支行),广东省,f445cae4c07b2d4417c8f674,"(0755)83670312,(0755)83669582",f445cae4c07b2d4417c8f674,工商银行
莲花路彩田村综合楼1层,福田区,深圳市,1,22.566593,114.069969,中国工商银行(深圳彩田支行),广东省,8e8860de8e2a1316f6c59c52,,8e8860de8e2a1316f6c59c52,工商银行
福田区福虹路华强花园ABC座裙楼C座102B,福田区,深圳市,1,22.544741,114.090543,中国工商银行(深圳福虹支行),广东省,c7fb04bdec0eee15fa0cad34,"(0755)83798304,(0755)83798358,(0755)83798361,(0755)83798326",c7fb04bdec0eee15fa0cad34,工商银行
华强北路1016号宝华大厦A座,福田区,深圳市,1,22.547935,114.093577,中国工商银行(深圳宝华支行),广东省,572b475033d49d53fb2d6199,(0755)83781344,572b475033d49d53fb2d6199,工商银行
深圳市福田区笋岗西路3号一楼,福田区,深圳市,1,22.561053,114.091391,中国工商银行(深圳黄木岗支行),广东省,93df0dc3f880b52b882fb534,(0755)83245803,93df0dc3f880b52b882fb534,工商银行
