address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
广东省深圳市福田区益田路48号深圳信息枢纽大厦2楼,福田区,深圳市,1,22.540946,114.061408,中国邮政储蓄银行(深圳分行),广东省,bdd59a6a7ba8ae20eee4a501,(0755)22228315,8cba4bb02c5cf5f9ad04571a
福田区滨河大道9023号国通大厦一层,福田区,深圳市,1,22.532883,114.049393,中国邮政储蓄银行(新洲南支行),广东省,bf29b70216de329a08b93ab8,(0755)83589768,bf29b70216de329a08b93ab8
深圳市福田区金地工业区129栋一楼,福田区,深圳市,1,22.527296,114.046989,中国邮政储蓄银行(深圳沙嘴支行),广东省,73e1b1ac7fc60284d8d891f6,(0755)83308772,73e1b1ac7fc60284d8d891f6
广东省深圳市福田区红荔路3013-5号上航大厦4层,福田区,深圳市,1,22.554502,114.089932,中国邮政储蓄银行(华新村支行),广东省,edd64ce10ac035923ee231b8,(0755)83201797,edd64ce10ac035923ee231b8
深圳市福田区华强南路赛格苑c栋1层,福田区,深圳市,1,22.544518,114.093592,中国邮政储蓄银行(深圳爱华支行),广东省,14c27fec163fa0a08415410f,95580,14c27fec163fa0a08415410f
深圳市福田区下沙福荣路金域蓝湾2期裙楼31号,福田区,深圳市,1,22.531013,114.030391,中国邮政储蓄银行(下沙支行),广东省,1bf85b25ff6060a7a0a934b8,(0755)83477267,1bf85b25ff6060a7a0a934b8
福田区梅华路154号梅林邮电综合大楼一楼,福田区,深圳市,1,22.570693,114.054612,中国邮政储蓄银行(梅林支行),广东省,3f826ed30f948646d1f49e37,(0755)83312092,3f826ed30f948646d1f49e37
广东省深圳市福田区红荔路1096号,福田区,深圳市,1,22.555496,114.104691,中国邮政储蓄银行(深圳红荔支行),广东省,6ed3083a5354ffb72b3a9f37,(0755)22207942,6ed3083a5354ffb72b3a9f37
福田区福华路196号,福田区,深圳市,1,22.542862,114.085628,中国邮政储蓄银行(深圳福华支行),广东省,2c0bd6c5da3f32aa43ab9a37,(0755)83980971,2c0bd6c5da3f32aa43ab9a37
福田区皇岗福民路与益田路交汇路高发城驰苑1楼,福田区,深圳市,1,22.528447,114.064229,中国邮政储蓄银行(深圳福民支行),广东省,351b698ac67bfb601ee9994c,(0755)95580,351b698ac67bfb601ee9994c
广东省深圳市福田区车公庙泰然六路206栋一楼,福田区,深圳市,1,22.53879,114.034544,中国邮政储蓄银行(福田区支行),广东省,923ffd00837b21b4d82f28b8,(0755)83402656,923ffd00837b21b4d82f28b8
广东省深圳市福田区华富路市话大厦附楼,福田区,深圳市,1,22.556949,114.08836,中国邮政储蓄银行(深圳华富支行),广东省,0ce65c2dc63bd05a2c4733b8,(0755)83252162,0ce65c2dc63bd05a2c4733b8
