address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
广州市花都区两龙南街5号,花都区,广州市,1,23.456613,113.282651,中国农业银行(花山支行),广东省,,(020)86848090,7f02d7d821ccf00a1df74d90
广东省广州市花都区天贵路与三东大道西交汇处,花都区,广州市,1,23.415921,113.229236,中国农业银行(广州花都名门支行),广东省,5f55ae76bd8104df4e5547f4,(020)86895255,5f55ae76bd8104df4e5547f4
广州市花都区新华街道商业大道61号,花都区,广州市,1,23.384451,113.222545,中国农业银行(广州花都新华支行),广东省,8cba4bb00b4f9684ad04570e,,8cba4bb00b4f9684ad04570e
广州市花都区建设路4号,花都区,广州市,1,23.377704,113.218725,中国农业银行(广州花都高科支行),广东省,279324d9788f287371455b96,(020)36830503,279324d9788f287371455b96
广州市花都区狮岭镇东升中路1号,花都区,广州市,1,23.467535,113.161601,中国农业银行(广州花都狮岭支行),广东省,c8b5cdef59425003130daa04,(020)86911755,c8b5cdef59425003130daa04
新华街曙光路电信营业综合楼附楼1、2层南侧,花都区,广州市,1,23.407819,113.234338,中国农业银行(花都曙光路支行),广东省,5a5af6cb5c3a872c29201a0e,(020)86963056,5a5af6cb5c3a872c29201a0e
广东省广州市花都区狮岭镇国际皮革皮具城15-17号,花都区,广州市,1,23.460629,113.178982,中国农业银行(广州花都金狮支行),广东省,739f6b0128e555b64bcc4ac6,(020)86846207,739f6b0128e555b64bcc4ac6
广州市花都区风神大道8号风神商业中心A栋102号,花都区,广州市,1,23.386019,113.175432,中国农业银行(广州花都汽车城支行),广东省,9f97b1c5137e4306b64f540e,(020)36862832,9f97b1c5137e4306b64f540e
广东省广州市花都区富银路1号,花都区,广州市,1,23.399101,113.211457,中国农业银行(花都支行国际业务部),广东省,689626cc176cd4dcc3364456,,689626cc176cd4dcc3364456
广东省广州市花都区公益路4-1号,花都区,广州市,1,23.399063,113.224607,中国农业银行(广州花都公益大道支行),广东省,50fb64ff0577ed5de9f8530e,(020)86977373,50fb64ff0577ed5de9f8530e
广东省广州市花都区南航大道北32-20,花都区,广州市,1,23.474502,113.193201,中国农业银行24小时自助银行(广州花都狮岭万虹花园),广东省,06759391ac2717c27adbd2bc,,06759391ac2717c27adbd2bc
广东省广州市花都区云都广场(广州市花山镇政府东南),花都区,广州市,1,23.442001,113.282199,中国农业银行24小时自助银行,广东省,,,c40a42ecde75f3baaaf0cd2b
义山下井一巷南150米,花都区,广州市,1,23.448335,113.139791,中国农业银行ATM,广东省,,,2423dd558bdc8b8078f796ee
宝珠路东苑大楼23号,花都区,广州市,1,23.340131,113.113466,中国农业银行24小时自助银行,广东省,,,da9e21ca205fe5909f09f715
广州市花都区新街大道67-12,花都区,广州市,1,23.386562,113.202444,中国农业银行24小时自助银行服务(新街大道),广东省,ada87e347a750a22b34c49bf,,ada87e347a750a22b34c49bf
康政西路3号,花都区,广州市,1,23.469036,113.165276,中国农业银行24小时自助银行(康政路),广东省,,,a58f7c795d59423b4c6d461a
