address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
广州市花都区迎宾大道97号亚美大厦一至三层,花都区,广州市,1,23.407582,113.233771,中国工商银行(广州花都支行),广东省,bdaf8b61d5d95743bda24065,"(020)36866936,(020)36866911",bdaf8b61d5d95743bda24065,工商银行
广州市花都区新华镇建设北路131号大华酒店首层5-8号,花都区,广州市,1,23.407991,113.213191,中国工商银行(花都新都支行),广东省,43b7e8898cd24e6a58f6be0f,(020)86881037,43b7e8898cd24e6a58f6be0f,工商银行
广州市花都区宝华路20号3-4号,花都区,广州市,1,23.39218,113.214135,中国工商银行(花都建设北路支行),广东省,94e994ec717118406c3e1b9c,,94e994ec717118406c3e1b9c,工商银行
狮岭镇宝峰路一街1号9(龙头市场北面七天连锁酒店1-2层,花都区,广州市,1,23.464697,113.181194,中国工商银行(广州花都狮岭支行),广东省,d82d669730dd24dbd418b793,(020)86911722,d82d669730dd24dbd418b793,工商银行
广州市花都区新华镇紫薇路以南百合路以西雍逸豪廷(扩展)第4幢1层101~102号,花都区,广州市,1,23.410814,113.23066,中国工商银行(广州花都紫薇支行),广东省,b92f532a0888586dcd04ef05,(020)36906132,b92f532a0888586dcd04ef05,工商银行
广州市花都区新华街天贵路48号华贵苑首层121-122号铺,花都区,广州市,1,23.389202,113.229709,中国工商银行(广州花都天贵支行),广东省,7cf0c2e6be08a8b96f4760ce,(020)86837264,7cf0c2e6be08a8b96f4760ce,工商银行
广州市花都区新华镇新华路63号,花都区,广州市,1,23.37943,113.216727,中国工商银行(广州花都新华支行),广东省,7aea43b7c41f68f87c29bd0f,,7aea43b7c41f68f87c29bd0f,工商银行
广州市花都区建设北路211-28号,花都区,广州市,1,23.422357,113.21756,中国工商银行(广州花都四季支行),广东省,5d25abba0ee24e3000ff2d5f,(020)37703818,5d25abba0ee24e3000ff2d5f,工商银行
广州市花都区公益路23号,花都区,广州市,1,23.404422,113.224398,中国工商银行(广州花都公益大道支行),广东省,914bc2be7278b92df4e73b05,(020)36899064,914bc2be7278b92df4e73b05,工商银行
广州市花都区风神大道8号,花都区,广州市,1,23.386134,113.177894,中国工商银行(广州花都汽车城支行),广东省,,(020)36860519,2b4aa71426acb8b3f503b8e2,工商银行
