address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
广州市越秀区解放北路986号以太广场1层,越秀区,广州市,1,23.146181,113.268227,中国工商银行(以太广场支行),广东省,87248d9697f0d0ce2806ce30,,87248d9697f0d0ce2806ce30,工商银行
广州市越秀区沿江中路193号,越秀区,广州市,1,23.120801,113.275273,中国工商银行(广州第一支行),广东省,41572e004e6403b4b45f1e2b,(020)83337155,41572e004e6403b4b45f1e2b,工商银行
广州市越秀区沿江西路123号,越秀区,广州市,1,23.115961,113.264148,中国工商银行(长堤路支行),广东省,49d959381042ab43c61e512b,(020)81308130,49d959381042ab43c61e512b,工商银行
广东省广州市西华路531号4楼,越秀区,广州市,1,23.135211,113.26011,中国工商银行(西华路支行),广东省,d1469ee7b9c140628433042b,(020)81071103,d1469ee7b9c140628433042b,工商银行
广州市越秀区东兴南路91号首层,越秀区,广州市,1,23.128074,113.31958,中国工商银行(东兴支行),广东省,5ffb1816028d515f6f47602b,"(020)87373570,(020)87379514",5ffb1816028d515f6f47602b,工商银行
广州市越秀区仓边路95号银山大厦首层,越秀区,广州市,1,23.135265,113.27788,中国工商银行(广州银山支行),广东省,b71c73f5d284970a87154192,(020)83640472,b71c73f5d284970a87154192,工商银行
越秀区中山二路48号有色金属工业大厦1层,越秀区,广州市,1,23.13142,113.297573,中国工商银行(广州中山二路支行),广东省,23116913a7c7be83734b87fb,(020)87313412,23116913a7c7be83734b87fb,工商银行
广州市越秀区中山一路25号,越秀区,广州市,1,23.13457,113.31714,中国工商银行(广州中山一路支行),广东省,d6df91c1bc2af86af7b9162b,(020)87329084,d6df91c1bc2af86af7b9162b,工商银行
广州市越秀区东风西路195-3,越秀区,广州市,1,23.138947,113.26224,中国工商银行(西城支行),广东省,cc788fde0a75248a88fc062b,"(020)81340428,(020)81340266",cc788fde0a75248a88fc062b,工商银行
寺右南一街1巷B5,越秀区,广州市,1,23.12426,113.317909,中国工商银行(兴华支行),广东省,3a0a78bd284e1efa6318092b,"(020)87370173,(020)87396693",3a0a78bd284e1efa6318092b,工商银行
越秀区环市东路477号海洋地质大厦底商,越秀区,广州市,1,23.14086,113.312872,中国工商银行(东环支行),广东省,2327e5212bf1a6d8b05c6a19,"(020)87751800,(020)87600058,(020)37818308",2327e5212bf1a6d8b05c6a19,工商银行
