address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
北京市通州区永顺西里46号楼,通州区,北京市,1,39.92331,116.649226,中国邮政储蓄银行(永顺支行),北京市,c810d2140d603029f90cad85,(010)81597149,c810d2140d603029f90cad85,邮政储蓄银行
北京市通州区徐尹路辅路,通州区,北京市,1,39.992482,116.70367,中国邮政储蓄银行(徐辛庄营业所),北京市,259621e6b87150be96f08c17,(010)89568014,259621e6b87150be96f08c17,邮政储蓄银行
S302潼关三区22-23号,通州区,北京市,1,39.768845,116.559626,中国邮政储蓄银行(金马桥营业所),北京市,7c5e480b2b8e02b7adb22a40,95580,7c5e480b2b8e02b7adb22a40,邮政储蓄银行
西集镇郎府政府路郎府邮政所内,通州区,北京市,1,39.80557,116.842147,中国邮政储蓄银行(郎府邮政所),北京市,,(010)61558704,e93761f6de704e0c223bf21e,邮政储蓄银行
北京市通州区富河园3号楼甲2-3号,通州区,北京市,1,39.931248,116.661767,中国邮政储蓄银行(富河园支行),北京市,50f7d14673b494c772210b4e,(010)69556323,50f7d14673b494c772210b4e,邮政储蓄银行
北京市通州区宋庄镇疃里大街疃里庄园疃里大街北50米,通州区,北京市,1,39.954054,116.703008,中国邮政储蓄银行(疃里庄园东南),北京市,6065ff92bbefd9669d82ea5b,(010)89599745,6065ff92bbefd9669d82ea5b,邮政储蓄银行
北京市通州区台湖镇政府大街19号,通州区,北京市,1,39.838155,116.655687,中国邮政储蓄银行(台湖邮政所),北京市,5c56edd6a0e68827a0d23094,(010)61531999,5c56edd6a0e68827a0d23094,邮政储蓄银行
北京市通州区玉桥北里10号楼底商,通州区,北京市,1,39.90014,116.689352,中国邮政储蓄银行(玉桥邮局营业部),北京市,606289fd837ba54ea20464c5,(010)81585043,606289fd837ba54ea20464c5,邮政储蓄银行
通州区运河西大街174号,通州区,北京市,1,39.89772,116.688579,中国邮政储蓄银行(北京通州区支行),北京市,61085211bd627fa1c51b7565,(010)81587584,61085211bd627fa1c51b7565,邮政储蓄银行
北京市通州区车站路28号,通州区,北京市,1,39.911723,116.669045,中国邮政储蓄银行(中仓支行),北京市,d146b388292537dd740269c5,(010)80882381,d146b388292537dd740269c5,邮政储蓄银行
北京市通州区云景东路417号,通州区,北京市,1,39.874146,116.668631,中国邮政储蓄银行(梨园支行),北京市,f2f15ffbd2ce048b631c67c5,(010)81579706,f2f15ffbd2ce048b631c67c5,邮政储蓄银行
北京市通州区宋庄镇政府大街挨着通州区宋庄地税所,通州区,北京市,1,39.947091,116.73605,中国邮政储蓄银行(宋庄支行),北京市,,(010)89578856,3dc9befd8e077716bea2400f,邮政储蓄银行
