address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
上海市金山区金一东路231号,金山区,上海市,1,30.718522,121.345398,中国工商银行(经一路支行),上海市,d991e1166ae6cd541f389432,"(021)57931963,(021)57955448",d991e1166ae6cd541f389432
上海市金山区万安街835号,金山区,上海市,1,30.902381,121.168239,中国工商银行(朱泾支行),上海市,,"(021)57319284,(021)57334069,(021)57334080",2e00c5dde25a6262d7851f49
金山卫镇学府路786号,金山区,上海市,1,30.737464,121.328538,中国工商银行(金山卫支行),上海市,be54cde93075345978f79632,(021)67262357,be54cde93075345978f79632
上海市金山区卫清西路96~114号,金山区,上海市,1,30.736661,121.356611,中国工商银行(上海市金天地支行),上海市,cde9e2c7859fa5cae81e9760,(021)33699012,cde9e2c7859fa5cae81e9760
上海市金山区枫泾古镇景区,金山区,上海市,1,30.892384,121.023694,中国工商银行,上海市,,95588,fd71e0c4707249d738e4a69b
上海市金山区象州路131、189号,金山区,上海市,1,30.716289,121.351577,中国工商银行(上海市象州路支行),上海市,55fa2c0b0177d92c1ce99932,(021)57933608,55fa2c0b0177d92c1ce99932
上海市金山区龙胜路238-242号,金山区,上海市,1,30.731625,121.349767,中国工商银行(上海市龙胜路支行),上海市,edd64ce1e87dd7ec3fe23100,(021)57964729,edd64ce1e87dd7ec3fe23100
上海市金山区泾波路251-259号,金山区,上海市,1,30.899062,121.021336,中国工商银行(上海市枫泾支行),上海市,,"(021)67965082,(021)57354180",fa01e937ce41344b774ff129
金山区开乐大街3号,金山区,上海市,1,30.855122,121.350631,中国工商银行(上海市金山工业区支行),上海市,f4a33da9ee48c8083010af25,(021)57274377,f4a33da9ee48c8083010af25
上海市金山区朱泾镇金龙新街488号港翔休闲广场1层,金山区,上海市,1,30.891787,121.176165,中国工商银行(上海市朱泾城南支行),上海市,,(021)57314453,c5f308a30f05dfd8dbd89170
上海市金山区龙翔路994-1000号,金山区,上海市,1,30.752911,121.341959,中国工商银行(上海市金山新城区支行),上海市,fb4806d650a87b825a3ac896,(021)37280712,fb4806d650a87b825a3ac896
石化卫零路558号(瑞鑫百货),金山区,上海市,1,30.733357,121.343577,中国工商银行(上海市金山支行营业厅),上海市,083a55faf4b9d678246e9832,"(021)67965936,(021)67965986",083a55faf4b9d678246e9832
上海市金山区山阳经济小区(金山区山阳镇政府东),金山区,上海市,1,30.767109,121.365426,中国工商银行24小时自助银行(红旗东路),上海市,,,3b1ddc18dde4712314c8f621
浦卫公路16299弄6号,金山区,上海市,1,30.756971,121.370196,中国工商银行离行式自助服务区(上海分行金山支行浦卫公路金石湾),上海市,,,540bddc94166729100ff2d8d
上海市金山区卫清西路96-114号,金山区,上海市,1,30.736651,121.356422,中国工商银行24小时自助银行(金天地支行),上海市,d8b6ed855a2da4ce0869d9f2,,d8b6ed855a2da4ce0869d9f2
朱行镇开乐大街3号,金山区,上海市,1,30.855049,121.350751,中国工商银行24小时自助银行(上海市工业区支行),上海市,bd87d115750cc9654c6d462c,,bd87d115750cc9654c6d462c
卫清西路96-114号,金山区,上海市,1,30.737661,121.356417,中国工商银行附行式自助银行(上海分行金山金天地支行),上海市,ee98e46a6181efa9cf06a44c,,ee98e46a6181efa9cf06a44c
上海市金一东路231号,金山区,上海市,1,30.718728,121.345279,中国工商银行24小时自助银行(经一路支行),上海市,669775d078a8285afd0eb032,,669775d078a8285afd0eb032
金一路721号,金山区,上海市,1,30.715834,121.322429,中国工商银行离行式自助服务区(上海分行金山支行金一路炼化部),上海市,,,5264dd425ab5168d018972cc
上海市金山区卫零路558号,金山区,上海市,1,30.733561,121.343409,中国工商银行24小时自助银行(上海分行金山支行),上海市,5e1b03db5fe8af728f1a899b,,ea99018d3a8e44350b1cc735
山阳镇龙翔路994-1000号,金山区,上海市,1,30.752812,121.342025,中国工商银行24小时自助银行服务(上海市新城区支行),上海市,3f2446e62192f7532bfc4845,,3f2446e62192f7532bfc4845
金山大道4068号,金山区,上海市,1,30.736813,121.311662,中国工商银行24小时自助银行服务(上海分行金山支行金山大道国贸城),上海市,02cf19f9882b6765abf72910,,b603cb432cef9e2cf8221336
上海市金山区朱泾镇万安街835号,金山区,上海市,1,30.902686,121.168353,中国工商银行24小时自助银行(上海分行金山朱泾支行),上海市,,,cdc43728d55da31b08ccdd9b
罗星南路300号,金山区,上海市,1,30.891876,121.176264,中国工商银行24小时自助银行服务(上海分行金山朱泾城南支行),上海市,,,b9691a79275ce2d8853304a4
枫泾镇泾波路251-259号,金山区,上海市,1,30.899148,121.02139,中国工商银行24小时自助银行(上海分行金山枫泾支行),上海市,,,ba569b206c160c57725e80d9
枫泾镇新泾路95－97号,金山区,上海市,1,30.892423,121.023694,中国工商银行24小时自助银行服务(上海分行金山支行新泾路),上海市,,,17e4edc740878a9a593ac8c9
龙胜路236-242号,金山区,上海市,1,30.731609,121.34994,中国工商银行24小时自助银行服务(上海分行金山龙胜路支行),上海市,456438507f0aac41110daa39,,456438507f0aac41110daa39
