address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市门头沟区石龙北路62号,门头沟区,北京市,1,39.914371,116.118759,中国邮政储蓄银行(石龙支行),北京市,dbf4d6eeb241da296fa3cc79,(010)69804026,dbf4d6eeb241da296fa3cc79
北京市门头沟区滨河西区皓月园6号楼底商11-3,门头沟区,北京市,1,39.941248,116.117283,中国邮政储蓄银行(滨河路支行),北京市,b388f9fd9f73ae3fb25c6a89,(010)69828692,b388f9fd9f73ae3fb25c6a89
永定石门营A4小区14号楼底商,门头沟区,北京市,1,39.894109,116.107301,中国邮政储蓄银行(石门营营业所),北京市,1e2c7019f499a34df90cadc7,95580,1e2c7019f499a34df90cadc7
北京市门头沟区军庄镇军温路21号院7号一层商铺,门头沟区,北京市,1,40.012237,116.111883,中国邮政储蓄银行(军庄支行),北京市,5d30c4229837e9636f4760d9,"(010)60811504,95580",5d30c4229837e9636f4760d9
北京市门头沟区斋堂镇斋堂村27号,门头沟区,北京市,1,39.979617,115.705045,中国邮政储蓄银行(斋堂支行),北京市,,(010)69816804,5508504dbe136bb6c6f0259f
雁翅镇雁翅村中街61号,门头沟区,北京市,1,40.041264,115.905372,中国邮政储蓄银行(雁翅邮政支局),北京市,48eb00586f2b75d32ee67bb8,(010)61830189,48eb00586f2b75d32ee67bb8
北京市门头沟区大峪南路2号,门头沟区,北京市,1,39.940727,116.111781,中国邮政储蓄银行(双峪路邮政所),北京市,ea945171c0ce3c7931870a8b,(010)69842523,ea945171c0ce3c7931870a8b
北京市门头沟区潭柘寺镇赵家台新村,门头沟区,北京市,1,39.886124,116.037078,中国邮政储蓄银行(潭柘寺营业所),北京市,6924c3f38880e89c3904b1ef,95580,6924c3f38880e89c3904b1ef
北京市门头沟区017县道大台医院东,门头沟区,北京市,1,39.971099,115.946942,中国邮政储蓄银行(大台营业所),北京市,,(010)61870374,81d6a509dbdf5f436f20b9b9
北京市门头沟区水闸路11号,门头沟区,北京市,1,39.966266,116.112393,中国邮政储蓄银行(三家店邮局营业部),北京市,e85e2527b683615395f08c04,(010)69842177,e85e2527b683615395f08c04
北京市门头沟区河滩路2号,门头沟区,北京市,1,39.949682,116.106705,中国邮政储蓄银行(大峪邮局营业部),北京市,1334cebf6884b4c45d17c342,(010)69842927,1334cebf6884b4c45d17c342
北京市门头沟区中国邮政储蓄银行(木城涧路北),门头沟区,北京市,1,39.960772,115.923455,中国邮政(储蓄银行北京门头沟区木城涧营业所),北京市,,(010)61872380,e889a744b44f61b58605bf08
门头沟区新桥南大街月季园(二区),门头沟区,北京市,1,39.933388,116.117351,中国邮政储蓄银行24小时自助银行,北京市,76571093518d2fbe354aaed1,,76571093518d2fbe354aaed1
北京市门头沟区大峪南路2号,门头沟区,北京市,1,39.940641,116.111788,中国邮政储蓄银行24小时自助银行服务(双峪营业所),北京市,925c550fb4cc1bcc5b3ac8aa,,925c550fb4cc1bcc5b3ac8aa
北京市门头沟区滨河居住区承泽苑二号楼,门头沟区,北京市,1,39.937653,116.122742,中国邮政储蓄银行24小时自助银行服务(承泽苑邮政储蓄),北京市,5f034e9399f9b33cb726554f,,5f034e9399f9b33cb726554f
北京市门头沟区河滩路53号,门头沟区,北京市,1,39.950127,116.110856,中国邮政储蓄银行24小时自助银行服务(绿岛家园北),北京市,ba11a32bf52198ca4207c12c,,ba11a32bf52198ca4207c12c
北京市门头沟区河滩路6号,门头沟区,北京市,1,39.949898,116.106688,中国邮政储蓄银行24小时自助银行(北京门头沟区支行),北京市,41f46b44a93db2640f0a7077,,41f46b44a93db2640f0a7077
北京市门头沟区滨河西区皓月园6号楼底商11-3,门头沟区,北京市,1,39.941315,116.117275,中国邮政储蓄银行24小时自助银行(滨河路支行),北京市,b5b60d8be5391aa128201a66,,b5b60d8be5391aa128201a66
杨坨路口西北200米,门头沟区,北京市,1,40.012194,116.111989,中国邮政储蓄银行24小时自助银行(军庄营业所),北京市,,,1a37ac16481f31251e580015
北京市门头沟区水闸路11号,门头沟区,北京市,1,39.96628,116.11215,中国邮政储蓄银行24小时自助银行(三家店新河路),北京市,07f3c8b5ee728a636240a904,,07f3c8b5ee728a636240a904
北京市门头沟区中国邮政(木城涧路东100米),门头沟区,北京市,1,39.971107,115.946948,中国邮政储蓄银行ATM(大台营业所),北京市,,,e889a74423f3f2b68705bfb9
北京市门头沟区斋堂镇斋堂村27号,门头沟区,北京市,1,39.979618,115.705045,中国邮政储蓄银行ATM(斋堂营业所),北京市,,,850815e19f7b729842e192b9
王平大街13号附近,门头沟区,北京市,1,39.97554,115.995659,中国邮政储蓄银行ATM(王平大街东路),北京市,16efc433ccc7b3f6c61b758e,,16efc433ccc7b3f6c61b758e
石担路东50米,门头沟区,北京市,1,39.990941,116.047499,中国邮政24小时自助银行服务(石担路),北京市,888ccefc1a7ecdac58f6be38,,888ccefc1a7ecdac58f6be38
