address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
陈行公路2518号,闵行区,上海市,1,31.101192,121.513708,中国银行(漕河泾出口加工区支行),上海市,169b1f57402a56bcdbd891d1,(021)34750010,169b1f57402a56bcdbd891d1
莘建路256号,闵行区,上海市,1,31.111071,121.381959,中国银行(闵行支行),上海市,56f2f696676237810aa8d400,,56f2f696676237810aa8d400
上海市闵行区宁虹路1199号1楼,闵行区,上海市,1,31.214342,121.314877,中国银行(宁虹路支行),上海市,6768a3522aff029009b93a13,(021)54312561,6768a3522aff029009b93a13
上海市闵行区七莘路3333号8区8-9幢,闵行区,上海市,1,31.165439,121.350363,中国银行(万科支行),上海市,,(021)64611198,f4490a6c779c7514b8bd63ea
上海市闵行区新龙路1095号,闵行区,上海市,1,31.159867,121.347217,中国银行(中春路支行),上海市,6f36264fcc854fcb88b98803,(021)33502680,6f36264fcc854fcb88b98803
上海市闵行区广通路18号,闵行区,上海市,1,31.120423,121.393486,中国银行(莘庄支行),上海市,4642844a8b63dadac9fa5f70,(021)54134098,4642844a8b63dadac9fa5f70
上海市闵行区东川路800号,闵行区,上海市,1,31.031313,121.433819,中国银行(交通大学支行),上海市,2311691333942a80734b8725,(021)54396911,2311691333942a80734b8725
上海市闵行区宜山路2362-2366号,闵行区,上海市,1,31.171049,121.387205,中国银行(静安新城支行),上海市,f696f3c2a49cf7ea1b11d500,(021)33589011,f696f3c2a49cf7ea1b11d500
上海市闵行区古美路1166号,闵行区,上海市,1,31.162769,121.407173,中国银行(古美路支行),上海市,0f1adfcbabc90845a8059dec,(021)64957492,0f1adfcbabc90845a8059dec
上海市闵行区顾戴路1198-1202号,闵行区,上海市,1,31.144373,121.392228,中国银行(顾戴路支行),上海市,373cf757774e2f6f4354d700,(021)54166803,373cf757774e2f6f4354d700
上海市闵行区红松路236号,闵行区,上海市,1,31.187963,121.376455,中国银行(红松路支行),上海市,3a0fbba82c21df409ee3213b,(021)64026079,3a0fbba82c21df409ee3213b
上海市闵行区畹町路113号1层,闵行区,上海市,1,31.111144,121.408426,中国银行(春申路支行),上海市,f757e6eebf72be16260bd000,(021)64020029,f757e6eebf72be16260bd000
上海市闵行区吴中路1077号,闵行区,上海市,1,31.182705,121.393729,中国银行(吴中路支行),上海市,669775d078b7285afd0eb037,(021)64650502,669775d078b7285afd0eb037
上海市闵行区吴泾镇紫星路588号中国网络视听产业基地2号楼一楼,闵行区,上海市,1,31.027273,121.470443,中国银行(紫竹高新区支行),上海市,,,74c2dfd637ae564b047ce818
上海市闵行区金平路517-521号,闵行区,上海市,1,31.021823,121.41646,中国银行(金平路支行),上海市,3fe2dce75a5f4e203586f4c0,(021)54313533,3fe2dce75a5f4e203586f4c0
上海市闵行区江川路245号,闵行区,上海市,1,31.010699,121.427931,中国银行(江川路支行),上海市,33fbfa83f96e63c00bf5eb14,(021)64352609,33fbfa83f96e63c00bf5eb14
闵行区莲花南路165号(近梅陇城世纪苑),闵行区,上海市,1,31.136925,121.412519,中国银行(莲花南路支行),上海市,5ce2637deec49e2cae31e5d2,(021)54813411,5ce2637deec49e2cae31e5d2
上海市闵行区银春路2136号,闵行区,上海市,1,31.031371,121.395362,中国银行(马桥支行),上海市,,,06652e1b3a246f373310af8f
莲花南路1500弄麦多生活广场16座1-201室,闵行区,上海市,1,31.103614,121.419104,中国银行(银都路支行),上海市,dffd46427b276eb13c9a5e70,(021)33581227,dffd46427b276eb13c9a5e70
