address,area,city,detail,lat,lng,name,province,street_id,telephone,uid
北京市顺义区府前西街4号,顺义区,北京市,1,40.136048,116.656899,中国银行(顺义支行),北京市,4fc3161af8f6cfa93b13fdbc,(010)69420847,4fc3161af8f6cfa93b13fdbc
北京市顺义区天竺空港经济开发区天柱路30号,顺义区,北京市,1,40.070443,116.572491,中国银行(天柱路支行),北京市,4573bf4376f685e57f29bdf3,(010)80480759,4573bf4376f685e57f29bdf3
北京市顺义区天竺空港工业区A区天柱路20号,顺义区,北京市,1,40.076604,116.569939,中国银行(北京空港支行),北京市,0a9e106080e913605bf6be2b,(010)80414992,0a9e106080e913605bf6be2b
北京市顺义区石园南大街16号联通大厦一层,顺义区,北京市,1,40.114089,116.674795,中国银行(北京林河开发区支行),北京市,ad5e7faa4c5deb65a1a93492,"(010)89491851,(010)89491852",ad5e7faa4c5deb65a1a93492
北京市顺义区天竺镇府前一街38号,顺义区,北京市,1,40.067827,116.572636,中国银行(天竺支行),北京市,c61bd305c204fc68c37da28a,(010)64582751,c61bd305c204fc68c37da28a
北京市顺义区顺成大街21号,顺义区,北京市,1,40.17716,116.660018,中国银行(北京马坡支行),北京市,a74481d69625be46f403b8b5,(010)69401794,a74481d69625be46f403b8b5
首都机场南平东里乙1号京林大厦1层,顺义区,北京市,1,40.05136,116.608421,中国银行(机场南路支行),北京市,101bc61bc91e1ea3c52ba18a,"95566,(010)64586830",101bc61bc91e1ea3c52ba18a
北京市顺义区府前东街9号,顺义区,北京市,1,40.136174,116.672024,中国银行(顺义东兴支行),北京市,0ed20a1533c8649756bfffbc,"(010)69440511,(010)69444661",0ed20a1533c8649756bfffbc
双河大街99号北京汽车产业研发基地1层,顺义区,北京市,1,40.104084,116.637532,中国银行(顺义汽车城支行),北京市,,(010)56385521,0f6d9591a5f5c5f682a12e2f
北京市顺义区天竺府前大街13号北京明豪戴斯酒店1层,顺义区,北京市,1,40.068491,116.587408,中国银行ATM(府右街),北京市,5aa10f3ee6233280d52ce219,,5aa10f3ee6233280d52ce219
首都机场二纬路09,顺义区,北京市,1,40.052808,116.625514,中国银行24小时自助银行(二纬路),北京市,d9283eca5494e6bc2806ceb8,,d9283eca5494e6bc2806ceb8
物流园六街,顺义区,北京市,1,40.130123,116.601027,中国银行ATM(物流园六街),北京市,108b1cea98991fd23486f4af,,108b1cea98991fd23486f4af
裕民大街4号,顺义区,北京市,1,40.107061,116.563182,中国银行24小时自助银行(北京空港万科支行),北京市,a4eb8dbf0180382bc2f1cf9f,,48eb0058111797ad2ee67b81
北京市顺义区顺成大街21,顺义区,北京市,1,40.177268,116.659941,中国银行24小时自助银行(北京马坡支行),北京市,ffd6d4030e9f708f16b54bb4,,ffd6d4030e9f708f16b54bb4
北京市市顺义区北京首都国际机场北京首都国际机场3号航站楼C区F3,顺义区,北京市,1,40.065398,116.621287,中国银行ATM(3号航站楼C区),北京市,,,8a86875271793a922a02e176
北京市顺义区航安路中国国际航空公司公寓,顺义区,北京市,1,40.064174,116.597942,中国银行24小时自助银行(北京首都机场支行),北京市,43b7e889925f446a59f6be8a,,43b7e889925f446a59f6be8a
胜利小区41487号,顺义区,北京市,1,40.142877,116.661314,中国银行24小时自助银行(便民街),北京市,7541b6ac8a1d0ddd7adbd2ea,,7541b6ac8a1d0ddd7adbd2ea
北京市顺义区双河大街99号,顺义区,北京市,1,40.104293,116.638126,中国银行24小时自助银行(北京顺义汽车城支行),北京市,f3408b8c3bc4e80aa20464ab,,f3408b8c3bc4e80aa20464ab
北京市顺义区南彩镇彩园工业区2号长久物流,顺义区,北京市,1,40.149357,116.702354,中国银行24小时自助银行(彩园工业区长久物流),北京市,f4a33da9c5d9ef773110afb1,,f4a33da9c5d9ef773110afb1
后沙峪镇古城村村委会东200米中家鑫园温泉酒店1层,顺义区,北京市,1,40.110104,116.510863,中国银行24小时自助银行(中家鑫园温泉酒店),北京市,40fe6217763325bc0f0e6b3a,,40fe6217763325bc0f0e6b3a
府前西街4号,顺义区,北京市,1,40.135952,116.656828,中国银行24小时自助银行(顺义支行),北京市,7bfa08fca3fac87f24d2bbbc,,7bfa08fca3fac87f24d2bbbc
北京市顺义区天竺镇裕翔路99号欧陆时尚购物中心F1,顺义区,北京市,1,40.073225,116.553754,中国银行24小时自助银行服务(欧陆时尚购物中心),北京市,fd13a3f2a9aa5187b1077d5b,,fd13a3f2a9aa5187b1077d5b
北京市顺义区天竺镇府前一街38号,顺义区,北京市,1,40.067847,116.572504,中国银行24小时自助银行(北京天竺支行),北京市,bb57b71a96f0aa3c9c09f7fa,,bb57b71a96f0aa3c9c09f7fa
石园南大街16号,顺义区,北京市,1,40.114268,116.674683,中国银行24小时自助银行(北京林河开发区支行),北京市,cd9d05dd8fd362b585420e11,,cd9d05dd8fd362b585420e11
顺义区南平东里乙1号首都机场,顺义区,北京市,1,40.051378,116.608415,中国银行24小时自助银行服务(北京机场南路支行),北京市,7aea43b7de9262f87d29bd8a,,7aea43b7de9262f87d29bd8a
