address,area,city,detail,lat,lng,name,province,street_id,telephone,uid,机构名称
广东省深圳市龙岗区布吉路106号,龙岗区,深圳市,1,22.606771,114.124089,中国农业银行(振兴支行),广东省,f9fd6062db3c9d1f0f0e6b23,(0755)28284197,f9fd6062db3c9d1f0f0e6b23,农业银行
深圳市龙岗区景芬路龙园意境华府36栋1楼,龙岗区,深圳市,1,22.626037,114.132195,中国农业银行(深圳龙园支行),广东省,53934b8bce40deb7badf8f7d,,53934b8bce40deb7badf8f7d,农业银行
深圳市龙岗区龙城街道中心城吉祥路217号新亚洲花园门口1-2楼,龙岗区,深圳市,1,22.721368,114.244291,中国农业银行(深圳龙翔支行),广东省,086009441857833d4f6d469c,"(0755)28950002,(0755)28950004,(0755)28951553",086009441857833d4f6d469c,农业银行
深圳市龙岗区爱联如意路龙岗供销合作联社大楼一楼,龙岗区,深圳市,1,22.705255,114.235699,中国农业银行(深圳爱联支行),广东省,5d295476e767831743afe668,(0755)28998555,5d295476e767831743afe668,农业银行
金融街3,龙岗区,深圳市,1,22.540475,114.498746,中国农业银行(南澳支行),广东省,978b140247b87e13eee4a5c2,,978b140247b87e13eee4a5c2,农业银行
深圳市龙岗区新城路水岸新都花园一期商铺14栋109-111号1-2楼,龙岗区,深圳市,1,22.754144,114.28384,中国农业银行(深圳新生支行),广东省,442076464da1f916deee8b58,,442076464da1f916deee8b58,农业银行
广东省深圳市龙岗区葵涌葵新北路38号,龙岗区,深圳市,1,22.638301,114.428256,中国农业银行(深圳葵涌支行),广东省,d24e48eb1a897dcaafee7ace,(0755)84206062,d24e48eb1a897dcaafee7ace,农业银行
深圳市龙岗区平湖街道新南村裕和北街115号首层商铺,龙岗区,深圳市,1,22.704775,114.135909,中国农业银行(深圳平湖支行),广东省,0f37e9d44f686504100daa6d,,0f37e9d44f686504100daa6d,农业银行
深圳市龙岗区横岗红棉一路城市中心花园10栋1-2层,龙岗区,深圳市,1,22.652687,114.201635,中国农业银行(深圳横岗新区支行),广东省,e93761f6ef30590c223bf2de,,e93761f6ef30590c223bf2de,农业银行
地新南街8号,龙岗区,深圳市,1,22.775218,114.312501,中国农业银行(深圳裕华社区支行),广东省,4c48b8828314fa40a8059d82,,4c48b8828314fa40a8059d82,农业银行
深圳市龙岗区平湖富安大道华南国际工业原料城管理服务中心大楼1-2层,龙岗区,深圳市,1,22.683733,114.133235,中国农业银行(深圳华南城支行),广东省,38e48037543e2249373a71d1,(0755)89631455,38e48037543e2249373a71d1,农业银行
"深圳市龙岗区平湖街道白泥坑社区丹农路1号深圳海吉星农产品物流园六号楼F1001-1007、F1009、F2001,F2003,F2005,F2007,F2009号铺位",龙岗区,深圳市,1,22.65154,114.169176,中国农业银行(深圳平湖海吉星支行),广东省,,(0755)28326149,8078f098dc8b8d5581288a17,农业银行
广东省深圳市龙岗区清林东路66号碧湖农行,龙岗区,深圳市,1,22.726311,114.247573,中国农业银行(深圳龙岗中心城支行),广东省,,,e1662236c8e0ed46213bf243,农业银行
广东省深圳市龙岗区平湖富安大道华南国际工业原料城皮革商务中心1楼,龙岗区,深圳市,1,22.683655,114.13319,中国农业银行(深圳华南城支行理财中心),广东省,5a7f4303b645499fcf06a496,(0755)95599,5a7f4303b645499fcf06a496,农业银行
允固街与梧岗路交叉口北50米,龙岗区,深圳市,1,22.619398,114.229873,中国农业银行24小时自助银行,广东省,,,db9419dfdbd16a3c38221cb2,农业银行
广东省深圳市龙岗区坪地街道办年丰村吉之堡购物中心首层,龙岗区,深圳市,1,22.771269,114.337246,中国农业银行ATM(新丰路),广东省,04bdf4a359ee8132354aae55,,04bdf4a359ee8132354aae55,农业银行
广东省深圳市龙岗区新河路63号,龙岗区,深圳市,1,22.672702,114.121712,中国农业银行ATM(新河路),广东省,dd85d97d7cf65b38631c67ba,,dd85d97d7cf65b38631c67ba,农业银行
广东省深圳市龙岗区松源路1三联大酒店首层,龙岗区,深圳市,1,22.634389,114.121158,中国农业银行24小时自助银行(松源路),广东省,a24b134e8856828cafee7a63,,a24b134e8856828cafee7a63,农业银行
广东省深圳市龙岗区康桥路128号,龙岗区,深圳市,1,22.63345,114.150806,中国农业银行ATM(宝冠路),广东省,2527be1e15c173cd4bfc8dad,,2527be1e15c173cd4bfc8dad,农业银行
同德路人人购物广场同乐店1层,龙岗区,深圳市,1,22.719897,114.321624,中国农业银行ATM(阳新路),广东省,c61bd305d0c8ea68c27da2ce,,c61bd305d0c8ea68c27da2ce,农业银行
广东省深圳市龙岗区华南城世纪商会中心,龙岗区,深圳市,1,22.683731,114.133172,中国农业银行24小时自助银行(佳业路),广东省,631c4157a6cf166131f71dd1,,631c4157a6cf166131f71dd1,农业银行
老围路21-2附近,龙岗区,深圳市,1,22.789002,114.3254,中国农业银行24小时自助银行,广东省,7eff21cedfc7378451e5c5f0,,7eff21cedfc7378451e5c5f0,农业银行
广东省深圳市龙岗区岭南路7-65,龙岗区,深圳市,1,22.600049,114.481542,中国农业银行24小时自助银行,广东省,,,365a670447e91b49774ff130,农业银行
平湖大街536号9号,龙岗区,深圳市,1,22.698432,114.138759,中国农业银行24小时自助银行服务(平湖大街),广东省,e71efb2ea2bdf21f35b06c80,,e71efb2ea2bdf21f35b06c80,农业银行
南坑北路39号,龙岗区,深圳市,1,22.619995,114.070051,中国农业银行24小时自助银行服务(南坑北路),广东省,69130523046f9576735e80ad,,69130523046f9576735e80ad,农业银行
广东省深圳市龙岗区如意路龙岗供销合作联社大楼1层,龙岗区,深圳市,1,22.704845,114.235648,中国农业银行24小时自助银行(深圳爱联支行),广东省,f78f2ca13c6b442872455b6d,,f78f2ca13c6b442872455b6d,农业银行
深圳市龙岗区平吉大道9号附近,龙岗区,深圳市,1,22.656489,114.132454,中国农业银行24小时自助银行服务,广东省,d8c7bf1820833314abf72907,,d8c7bf1820833314abf72907,农业银行
广东省深圳市龙岗区布吉镇布吉路106号,龙岗区,深圳市,1,22.606908,114.123992,中国农业银行24小时自助银行(深圳振兴支行),广东省,beb3f5eabf491fa985420e7d,,a214ecd89565c4966fc02cf0,农业银行
松柏路146号附近,龙岗区,深圳市,1,22.650086,114.216653,中国农业银行24小时自助银行(松柏路),广东省,,,499dd7da9a9c80f4b74f54b0,农业银行
深圳市龙岗区京南路91-B7,龙岗区,深圳市,1,22.606862,114.131718,中国农业银行24小时自助银行(京南路),广东省,796ca414265f25c2c9291516,,796ca414265f25c2c9291516,农业银行
广东省深圳市龙岗区龙河路84-2,龙岗区,深圳市,1,22.729093,114.263876,中国农业银行24小时自助银行(龙河路),广东省,65c8ef7cb847568a593ac816,,64f69318e78aacbb3517dcbf,农业银行
广东省深圳市龙岗区横岗街道228工业区商业楼1层,龙岗区,深圳市,1,22.671856,114.208503,中国农业银行24小时自助银行(信义路),广东省,c0e81abc8a403f494d2fdf4a,,c0e81abc8a403f494d2fdf4a,农业银行
深圳市龙岗区横岗街道六约路天天乐百货1楼,龙岗区,深圳市,1,22.641782,114.195709,中国农业银行24小时自助银行(六约路),广东省,04bdf4a3edf91d31354aae4f,,04bdf4a3edf91d31354aae4f,农业银行
布龙路坂田医院,龙岗区,深圳市,1,22.633285,114.074215,中国农业银行24小时自助银行(东坡街),广东省,605716183d4f200c9122e0c9,,605716183d4f200c9122e0c9,农业银行
广东省深圳市龙岗区龙岗中心城新亚洲花园一楼,龙岗区,深圳市,1,22.721347,114.24436,中国农业银行24小时自助银行(深圳龙翔支行),广东省,34e48508a1cff39cd9d891ad,,34e48508a1cff39cd9d891ad,农业银行
龙城街道五联村岭背坑连心路21号,龙岗区,深圳市,1,22.752967,114.240831,中国农业银行24小时自助银行服务(龙城街道五联村岭背坑连心路),广东省,eb3675034902fd6501ec01a4,,eb3675034902fd6501ec01a4,农业银行
深圳市龙岗区龙翔大道6099号国安居装饰建材F1,龙岗区,深圳市,1,22.714751,114.241164,中国农业银行24小时自助银行(国安居装饰建材),广东省,5c2dc21dfce1f77a6ec02c9b,,5c2dc21dfce1f77a6ec02c9b,农业银行
广东省深圳市龙岗区横岗街道油园路30号,龙岗区,深圳市,1,22.637301,114.236321,中国农业银行24小时自助银行(横岗街道中裕电器公司),广东省,,,b388f9fdf3ca1a40b35c6a3b,农业银行
彩姿南路与新河四巷交叉口北50米,龙岗区,深圳市,1,22.67517,114.12564,中国农业银行24小时自助银行(上木古社区健康服务中心东北),广东省,636ba1c3e4bd952ae81e975f,,636ba1c3e4bd952ae81e975f,农业银行
广东省深圳市龙岗区坂田华府公寓东门(雪岗北路西),龙岗区,深圳市,1,22.668369,114.067585,中国农业银行24小时自助银行(雪岗北路),广东省,c25c85b15bc1f0ac843304c1,,74d82409f61405ccc9fa5fff,农业银行
深圳市龙岗区丰田路100,龙岗区,深圳市,1,22.754012,114.283722,中国农业银行24小时自助银行(深圳新生支行),广东省,96be507add44ac10336212a4,,96be507add44ac10336212a4,农业银行
罗瑞合街与龙平东路交叉口西北50米,龙岗区,深圳市,1,22.736072,114.276698,中国农业银行24小时自助银行(深圳龙岗支行营业室),广东省,30d932d350e694d0223bf2d9,,30d932d350e694d0223bf2d9,农业银行
深圳市龙岗区深惠公路864号农行大厦,龙岗区,深圳市,1,22.73041,114.277035,中国农业银行24小时自助银行(深圳龙岗支行营业室),广东省,ece9358271f8dc91f4231076,,ece9358271f8dc91f4231076,农业银行
